gene_name,9mo.2mo.log_ratio.mean,18mo.9mo.log_ratio.mean,18mo.2mo.log_ratio.mean,log2_distance.mean,9mo.2mo.log_ratio.std,18mo.9mo.log_ratio.std,18mo.2mo.log_ratio.std,log2_distance.std,count
C7,-0.06117801776274786,0.1337338515726849,0.07255583380993702,14.170350623467199,0.15640901343553684,0.25548981801689824,0.16713645292324286,0.16367958267852675,3
C730034F03Rik,0.1570319548044321,0.05733671023007547,0.21436866503450758,10.88615245373073,0.028262692634157396,0.01064502994656551,0.017617662687591885,0.2724701577716694,2
C730036E19Rik,0.3994491948152391,0.10200757156989226,0.5014567663851314,11.1774195379893,,,,,1
C77080,0.6351986843807612,-0.0014374299042874128,0.6337612544764738,13.15867343316283,0.17269817904906745,0.2810351692024942,0.3183284694259309,1.7928304646705513,12
C77370,-0.25335881991484344,-0.21712437071874163,-0.47048319063358507,11.308800876189162,0.174233114565297,0.31601411141158514,0.27301938139628185,0.4625179814594136,4
C78197,0.15226347470582016,0.4803683526904816,0.6326318273963017,9.992473810782649,0.4278581185251915,0.9037284191257107,0.47587030060051927,1.368926333162164,3
C78339,0.08754030585056616,-0.07289937592328277,0.014640929927283386,10.941339433974044,0.005190431582616467,0.05109644765103594,0.045906016068419465,0.30905078075719555,2
C87436,0.15427340838842896,0.04488355739566382,0.19915696578409278,11.447347389091549,0.25636968938942084,0.1265744134067774,0.35021516586649215,0.8878068570709758,6
C8a,0.2486157764094723,-0.6013332947604081,-0.3527175183509358,13.921912088913064,0.4470073558035975,0.9244880213023918,0.4774806654987943,0.04475676479702144,2
C8b,0.15467828454621174,0.20027046598111314,0.3549487505273249,9.364134655008272,,,,,1
C8g,0.17255327435186585,0.142504525311282,0.31505779966314784,9.819763979271503,0.16377483765256595,0.012057364599187784,0.17583220225175372,2.5655805860507788,2
C920006O11Rik,-0.1741117075569787,0.009230071225481806,-0.16488163633149688,10.987918949860818,0.12898656839628656,0.053515284161778046,0.11518840478323293,0.5794301916569794,4
C920021L13Rik,0.10340407494615815,0.02131213614146472,0.12471621108762287,12.261918046984771,0.1597102127303864,0.08139651540945603,0.10545194401951091,1.1719653959862733,5
C920025E04Rik,0.942992161791274,-0.05216430022621113,0.8908278615650628,11.361485493051164,0.3080995581831467,0.17009142390419207,0.2885745286535743,0.24976071206362582,3
CAAA01083517.1,0.06278410765876814,-0.13552830198589963,-0.07274419432713149,8.539307656904654,0.0789218296353488,0.09718169026417814,0.1175185538928727,1.1975409537586408,3
CAAA01201205.2,0.13892988737258694,-0.10167912217529995,0.037250765197286984,9.939412278139134,0.16575093651291156,0.05429993108914109,0.15596879052239868,1.2361018290240608,4
CH25-241D1.1,-0.05823264183186794,0.3879230599488095,0.32969041811694155,8.46352437327159,,,,,1
CH36-500J15.2,0.19255406852961576,0.13218088125258998,0.32473494978220574,10.423257859901982,0.23039512373602103,0.00750052770444542,0.23789565144046645,0.4066550929054017,2
CK137956,0.41119455656885523,-0.0029242820714699413,0.40827027449738523,12.924476781896425,0.2803615100454747,0.13941813968358427,0.2607444345473455,0.7729983994911763,3
Caap1,-0.17753559733974325,-0.000711550196566102,-0.17824714753630935,11.998619879901485,0.14382375956991683,0.11118181600569309,0.18266951479396995,1.7774285153604277,4
Cab39,0.15984922461842227,-0.004149801920445695,0.1556994226979766,12.823643626252155,0.4465368622443339,0.27627305163429694,0.5699093521971358,2.2726289726601308,10
Cab39l,-0.030125324601555117,-0.01067538134397829,-0.04080070594553341,13.16009213469393,0.15872368003365359,0.14108433068732557,0.21590612167805742,2.174942329044352,7
Cabin1,0.2582157272489285,-0.04871882174550082,0.20949690550342764,13.720572526217582,0.300139862527972,0.2087795859193706,0.29950081770598014,2.542711190887638,25
Cables1,-0.1504966515383338,-0.09633607733947569,-0.2468327288778095,14.146237206428633,0.31530494976339013,0.1702666718027097,0.2795147990674834,1.8317120161443772,13
