cell_type,gene,DEG,pred,hic_loop,hic_abc_dmr,hic_abc_peak
L6_CT_CTX_Glut,Ptpru,-1,-1,0.8921718,0.017565852,0.09026234
L6_CT_CTX_Glut,Diras2,-1,-1,0.88404083,0.009055496,0.10690362
L6_CT_CTX_Glut,Setd4,-1,-1,0.018640334,0.02904441,0.9523153
L6_CT_CTX_Glut,Igdcc4,-1,-1,0.85549223,0.05795981,0.08654795
L6_CT_CTX_Glut,Gmeb2,-1,-1,0.0071018045,0.12869564,0.8642026
L6_CT_CTX_Glut,Pdia3,-1,0,0.00581853,0.34080198,0.65337944
L6_CT_CTX_Glut,Tfdp2,1,0,0.22456694,0.052938744,0.7224943
L6_CT_CTX_Glut,Pou2f2,-1,-1,0.95409745,0.008823774,0.03707886
L6_CT_CTX_Glut,Otub1,-1,-1,0.960504,0.021749139,0.01774688
L6_CT_CTX_Glut,4930402H24Rik,-1,-1,0.8651033,0.00825383,0.12664288
L6_CT_CTX_Glut,Ncln,-1,-1,0.6081351,0.25957143,0.13229343
L6_CT_CTX_Glut,Plekhn1,-1,0,0.004615571,0.8229707,0.17241365
L6_CT_CTX_Glut,Ift172,-1,-1,0.84898543,0.04239054,0.10862399
L6_CT_CTX_Glut,Syn1,-1,-1,0.0070333784,0.29468405,0.69828254
L6_CT_CTX_Glut,Rnf157,-1,-1,0.083678946,0.47386727,0.4424537
L6_CT_CTX_Glut,Aco2,-1,-1,0.902156,0.05245213,0.045391854
L6_CT_CTX_Glut,Grcc10,-1,-1,0.275751,0.63444,0.08980898
L6_CT_CTX_Glut,Gm11867,-1,1,0.53402036,0.001525486,0.4644541
L6_CT_CTX_Glut,Ap2a2,-1,-1,0.02802413,0.2248671,0.7471088
L6_CT_CTX_Glut,Dnm1,-1,-1,0.05808986,0.3903083,0.5516019
L6_CT_CTX_Glut,Capns1,-1,-1,0.40721837,0.3710771,0.22170453
L6_CT_CTX_Glut,Brsk1,-1,-1,0.015292185,0.71418464,0.27052313
