features,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9
9mo.2mo.log_ratio.mcg_genebody,True,True,True,True,True,True,True,True,True,False
18mo.9mo.log_ratio.mcg_genebody,True,True,True,True,True,True,True,True,True,True
18mo.2mo.log_ratio.mcg_genebody,True,True,True,True,True,True,True,True,True,True
9mo.2mo.log_ratio.mch_genebody,True,True,True,True,True,True,True,True,True,True
18mo.9mo.log_ratio.mch_genebody,True,True,True,True,True,False,False,False,False,False
18mo.2mo.log_ratio.mch_genebody,True,True,True,True,False,False,False,False,False,False
9mo.2mo.log_ratio.mean.atac,True,True,True,True,True,True,True,True,True,True
18mo.9mo.log_ratio.mean.atac,True,True,True,True,True,True,True,True,True,True
18mo.2mo.log_ratio.mean.atac,True,True,True,True,True,True,True,True,True,True
log2_distance.mean.atac,True,True,True,True,True,True,True,True,True,True
9mo.2mo.log_ratio.std.atac,True,True,True,True,True,True,True,True,True,True
18mo.9mo.log_ratio.std.atac,True,True,True,True,True,True,True,False,False,False
18mo.2mo.log_ratio.std.atac,True,True,True,True,True,True,True,True,True,True
log2_distance.std.atac,True,True,True,True,True,True,True,True,True,True
9mo.2mo.log_ratio.max.atac,True,True,True,True,True,True,True,True,True,True
18mo.9mo.log_ratio.max.atac,True,True,True,True,True,True,True,False,False,False
18mo.2mo.log_ratio.max.atac,True,True,True,True,True,True,True,True,True,True
log2_distance.max.atac,True,False,False,False,False,False,False,False,False,False
9mo.2mo.log_ratio.min.atac,True,True,True,True,True,True,True,True,True,True
18mo.9mo.log_ratio.min.atac,True,False,False,False,False,False,False,False,False,False
18mo.2mo.log_ratio.min.atac,True,True,True,True,True,True,True,True,True,True
log2_distance.min.atac,True,True,True,True,True,True,True,True,True,False
count.atac,True,True,True,True,True,True,True,True,True,True
