gene,DEG,pred,dmr,mcg_genebody,mch_genebody,atac,hic_loop,hic_abc_dmr,hic_abc_peak
Lmna,0,-1,1.5126723e-33,1e-45,6.95414e-40,0.14008425,6.817e-42,2.0324e-41,0.85991573
Faim2,0,0,0.99934787,9.440564e-12,4.9220166e-06,0.0006195929,1.2265059e-09,2.7465268e-05,1.08555206e-07
Map3k12,0,-1,4.6926915e-13,1.3829428e-10,1.0,7.114088e-17,1.720925e-15,1.945332e-10,1.8061526e-13
Zfp467,0,0,1.594168e-13,0.0012386187,3.4200472e-12,0.9987614,5.682571e-16,1.7311422e-10,9.124745e-14
Fnbp4,0,1,1.07812565e-26,5.260099e-35,4.398806e-33,1.0,2.0262168e-35,1.5016215e-34,2.15182e-33
Rassf5,0,1,2.442471e-20,1.1603873e-30,3.2217663e-29,0.99768686,0.0023131047,2.7978252e-23,1.5858408e-26
Polr2f,0,-1,7.4985503e-22,1.0,1.9883304e-20,1.10233e-40,9.567062e-25,3.1004533e-18,1.5254691e-23
Rce1,0,-1,4.7663154e-14,4.1912804e-15,1.0,6.7657276e-36,1.085717e-16,1.3864793e-10,1.0014855e-14
Actg1,0,-1,1.1418285e-12,1.025415e-14,1.0,4.1487625e-29,5.324493e-15,4.3049153e-10,3.7877237e-13
Sptbn1,0,-1,1.5803924e-06,7.840703e-15,8.441843e-14,0.99999845,5.7351114e-15,4.237254e-10,1.0331435e-12
Phf23,0,0,3.7261444e-12,1.4116068e-11,9.0798244e-11,1.0,1.2387423e-14,6.1506256e-10,2.8876018e-12
Agbl1,0,-1,9.87746e-40,6.634229e-30,6.4580206e-36,0.0,2.127e-42,2.3636e-41,1.0
Dolpp1,0,-1,1.9123142e-25,1.0,2.9281016e-26,0.0,3.8892896e-08,2.1682578e-26,2.6961905e-31
Spred3,0,1,3.9198894e-20,5.1049666e-24,1.348901e-14,1.0,2.7953118e-28,8.604224e-28,8.852432e-27
Ddx47,0,-1,5.700121e-20,1.0,4.5849553e-17,5.9e-44,9.627884e-23,1.493152e-17,4.8939983e-21
Cds2,0,-1,1.3173492e-11,1.0,7.873559e-09,4.2512844e-20,1.2084231e-14,9.694433e-10,2.3824864e-12
Plekhh2,0,-1,3.515729e-17,1.0,3.2500052e-13,1.01066675e-08,1.5782006e-19,4.958058e-13,4.3093178e-18
Arsj,0,0,1.1362118e-17,8.1766457e-19,8.081138e-19,1.0,1.7871276e-20,4.3413505e-15,5.985041e-18
Tubgcp3,0,0,0.0002698643,1.0268224e-10,0.86374915,7.0049097e-19,4.3692341e-07,0.13513562,0.0008449841
Ndufs4,0,1,5.9059694e-21,8.709443e-26,1.4667062e-21,1.0,2.3254327e-23,5.098907e-19,2.0589879e-21
Kcns2,0,-1,6.1566724e-13,7.977589e-17,1.0,3.6959373e-18,2.6177585e-15,3.0237143e-10,8.291652e-12
Pdk2,0,0,1.8598675e-17,2.356109e-08,1.10024e-10,0.0,1.0,6.5206286e-20,7.483226e-24
Kif2a,0,1,2.6039121e-17,2.4714285e-23,4.2113107e-24,1.0,1.4796228e-25,5.0165037e-20,2.8358533e-23
Tmem132a,0,0,4.5853518e-05,9.899769e-07,0.99684095,4.75001e-28,1.0718846e-07,0.0031075808,4.551054e-06
A430106G13Rik,0,0,0.00087960635,0.11459058,0.0073179696,0.0015636178,2.5141178e-06,0.8754777,0.00016804352
Sgpp1,0,0,2.7341905e-05,0.0006399718,0.20782961,2.3365233e-37,4.3454353e-08,0.79149413,8.897373e-06
Nme1,0,0,0.24544196,0.0022299166,0.7521765,5.9245093e-35,6.944629e-09,0.00015142767,1.8433138e-07
Ccdc88c,0,-1,9.874717e-13,6.6179695e-05,0.99993384,1.2474511e-30,1.9316184e-15,1.4475505e-09,3.1134172e-13
Sdhc,0,0,1.4400463e-23,3.9900942e-28,5.794119e-19,3.6230307e-05,0.99996376,3.2234107e-20,2.057591e-24
