,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DEG
Src,0.0529866925543384,0.298897802686761,0.268,0.217,1.0,0
Ptdss1,0.0530824151933347,-0.231159380378573,0.08,0.097,1.0,0
Wbp1,0.0530934050992628,-0.896306607203909,0.011,0.021,1.0,0
Aloxe3,0.0531963358479857,-0.966208620434066,0.008,0.016,1.0,0
Grcc10,0.0532151773953714,-0.410759399955924,0.033,0.045,1.0,0
Fggy,0.0532770961373033,-0.247636512067466,0.126,0.149,1.0,0
Ankra2,0.053381813464522,-0.18345567160954,0.05,0.061,1.0,0
Bcl2l13,0.0535062232470889,-0.226240538106337,0.099,0.113,1.0,0
Xbp1,0.0535621194773971,-0.156162102370196,0.038,0.045,1.0,0
Panx2,0.0535938482450594,-0.330746637705269,0.046,0.057,1.0,0
Ak1,0.053622967634612,-1.04215747366736,0.005,0.011,1.0,0
Dhx38,0.0536343032222311,-1.07868334969248,0.006,0.013,1.0,0
Hipk1,0.0536669184140566,-0.245041736114598,0.11,0.13,1.0,0
Pappa,0.0536680487464757,-1.03359546016394,0.008,0.017,1.0,0
Pim3,0.0537757863168291,-1.11932533418983,0.004,0.01,1.0,0
Xiap,0.0538092347927913,-0.323570408816013,0.079,0.099,1.0,0
Ccnb2,0.0538831412984764,-1.05792478952568,0.004,0.01,1.0,0
9330162012Rik,0.0539141269359328,-0.966208620434066,0.008,0.016,1.0,0
Ptgds,0.0539152422322722,0.321247257196156,0.016,0.015,1.0,0
Igsf8,0.0539185665764208,-0.307502040188359,0.045,0.054,1.0,0
Gm15997,0.0540729899132531,-0.592261217176869,0.02,0.03,1.0,0
Ddx19a,0.0541399304226576,-0.404453510874235,0.031,0.041,1.0,0
Stpg1,0.0542703396604757,-0.789176732497493,0.007,0.013,1.0,0
Zfp280b,0.0543720643022534,-0.405848092945988,0.014,0.02,1.0,0
Dclre1a,0.0544760842719684,-0.663645850413634,0.011,0.02,1.0,0
Nploc4,0.0544846475394498,-0.140083894356622,0.21,0.224,1.0,0
