gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,9mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,distance.log2.DMR,18mo.9mo.Q.std.loops,Qanova.mean.loops,9mo.2mo.Q.min.loops,loop_size.log.median.loops,18mo.2mo.T.max.loops,loop_size.log.mean.loops,18mo.9mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.std.atac,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,log2_distance.max.atac,count.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.max.atac,DEG,pred
Rnf7,0.03324294521620399,0.0008569859997614434,-0.0021899773396159474,0.0,0.0,0.0,0.0,0.0,-0.027042641892637078,0.0,0.0,0.11209751361686933,0.0017139719995228869,0.0,0.0,-0.028795504060230757,0.0,0.0,0.026022190938850765,-0.07945676167544566,0.044922753678340664,0.00457059194971072,0.10830679212353732,0.0,0.0,0.09434603987947891,0.021625926424013942,0.0,1.0,1.0
Prr14l,0.03324294521620399,0.0008569859997614434,-0.0021899773396159474,0.0,0.0,0.0,0.0,0.0,-0.027042641892637078,0.0,0.0,0.11209751361686933,0.0017139719995228869,0.0,0.0,-0.028795504060230757,0.0,0.0,0.026022190938850765,-0.07945676167544566,0.044922753678340664,0.00457059194971072,0.10830679212353732,0.0,0.0,0.09434603987947891,0.021625926424013942,0.0,1.0,0.0
Sav1,0.023567274310871175,0.0008569859997614434,-0.0021899773396159474,0.0,0.0,0.0,0.0,0.0,0.0826097141069017,0.0,0.0,0.11209751361686933,0.0017139719995228869,0.0,0.0,-0.028795504060230757,0.0,0.0,0.026022190938850765,-0.044264282443021476,-0.05045170797721336,0.00457059194971072,0.10830679212353732,0.0,0.0,0.11842510417888039,0.021625926424013942,0.0,1.0,1.0
Rrn3,0.023567274310871175,0.00028566199992048115,-0.0021899773396159474,0.0,0.0,0.0,0.0,0.0,-0.027042641892637078,0.0,0.0,0.0324730597632496,0.0008569859997614434,0.0,0.0,0.07549091604979415,0.0,0.0,0.009275134432276613,-0.030037237968491882,-0.05045170797721336,-0.035707749107754545,-0.17056878234602904,0.0,0.0,0.05887835713005379,0.035634550020882956,0.0,1.0,1.0
Cbx3,0.023567274310871175,0.0003999267998886736,-0.0021899773396159474,0.0,0.0,0.0,0.0,0.0,-0.027042641892637078,0.0,0.0,0.11209751361686933,0.0005713239998409623,0.0,0.0,-0.028795504060230757,0.0,0.0,-0.016712843170879704,-0.029351649144174236,-0.05045170797721336,0.0023995607993320413,0.10830679212353732,0.0,0.0,0.09074669939122702,0.021625926424013942,0.0,1.0,1.0
Tmem19,0.023567274310871175,0.0028566199501878337,-0.0021899773396159474,0.0,0.0,0.0,0.0,0.0,-0.0062976015339556496,0.0,0.0,0.11209751361686933,0.0068558878020236365,0.0,0.0,-0.028795504060230757,0.0,0.0,0.036591684641806704,0.10344595589527958,-0.05045170797721336,0.026280903600548442,0.10830679212353732,0.0,0.0,0.12746628413074895,0.021625926424013942,0.0,1.0,1.0
Smarcd3,0.03324294521620399,0.0028566199501878337,-0.0021899773396159474,0.0,0.0,0.0,0.0,0.0,-0.0062976015339556496,0.0,0.0,0.11209751361686933,0.0068558878020236365,0.0,0.0,-0.028795504060230757,0.0,0.0,0.036591684641806704,0.10344595589527958,0.044922753678340664,0.026280903600548442,0.10830679212353732,0.0,0.0,0.12746628413074895,0.021625926424013942,0.0,1.0,1.0
Mtmr3,0.023567274310871175,0.00017139719995228867,-0.007299924465386491,0.0,0.0,0.0,0.0,0.0,-0.008890731627807805,0.0,0.0,0.028504912202295504,0.00034279439990457733,0.0,0.0,-0.028795504060230757,0.0,0.0,0.006884465018581403,-0.017847375110968164,-0.05045170797721336,-0.02193884159389295,-0.11331407676794027,0.0,0.0,-0.18922731054848746,0.021625926424013942,0.0,1.0,0.0
Tro,0.03324294521620399,0.0028566199501878337,-0.0021899773396159474,0.0,0.0,0.0,0.0,0.0,0.028153983361430858,0.0,0.0,-0.1933307569277914,0.0068558878020236365,0.0,0.0,-0.028795504060230757,0.0,0.0,0.020933695725704495,0.0634376622834488,0.044922753678340664,0.026280903600548442,0.02236207133453143,0.0,0.0,0.10581283232099131,0.021625926424013942,0.0,1.0,1.0
Crebrf,0.03324294521620399,0.00011426479996819245,-0.0021899773396159474,0.0,0.0,0.0,0.0,0.0,-0.027042641892637078,0.0,0.0,0.11209751361686933,-0.036907529507420565,0.0,0.0,-0.028795504060230757,0.0,0.0,0.022994173935761576,-0.031237018319140924,0.044922753678340664,0.002513825599300234,0.10830679212353732,0.0,0.0,0.09057530211774927,0.021625926424013942,0.0,1.0,0.0
Snx7,0.03324294521620399,0.00017139719995228867,-0.007299924465386491,0.0,0.0,0.0,0.0,0.0,-0.008890731627807805,0.0,0.0,-0.057996873890883045,0.00034279439990457733,0.0,0.0,0.07549091604979415,0.0,0.0,-0.03795582318286363,-0.017847375110968164,0.044922753678340664,-0.02193884159389295,-0.04155516428382773,0.0,0.0,-0.16088339411898664,0.035634550020882956,0.0,1.0,0.0
Lca5l,0.03324294521620399,0.0028566199501878337,0.01605983382385028,0.0,0.0,0.0,0.0,0.0,-0.0062976015339556496,0.0,0.0,0.0324730597632496,0.0068558878020236365,0.0,0.0,0.07549091604979415,0.0,0.0,0.02270124793836945,0.10344595589527958,0.044922753678340664,0.026280903600548442,-0.17056878234602904,0.0,0.0,0.0786050435547766,0.035634550020882956,0.0,1.0,1.0
Gramd1a,0.023567274310871175,0.0008569859997614434,-0.0021899773396159474,0.0,0.0,0.0,0.0,0.0,-0.027042641892637078,0.0,0.0,0.11209751361686933,0.0017139719995228869,0.0,0.0,0.07549091604979415,0.0,0.0,0.026022190938850765,-0.07945676167544566,-0.05045170797721336,0.00457059194971072,0.10830679212353732,0.0,0.0,0.09434603987947891,0.035634550020882956,0.0,1.0,1.0
Map3k14,0.03324294521620399,0.0008569859997614434,-0.0021899773396159474,0.0,0.0,0.0,0.0,0.0,-0.027042641892637078,0.0,0.0,-0.09156267592487366,0.0017139719995228869,0.0,0.0,-0.028795504060230757,0.0,0.0,0.009480426014450035,-0.07945676167544566,0.044922753678340664,0.00457059194971072,-0.07512096629330986,0.0,0.0,0.06373461046697278,0.021625926424013942,0.0,1.0,0.0
St3gal6,0.03324294521620399,0.0028566199501878337,-0.0021899773396159474,0.0,0.0,0.0,0.0,0.0,0.028153983361430858,0.0,0.0,0.11209751361686933,0.0068558878020236365,0.0,0.0,0.07549091604979415,0.0,0.0,0.036591684641806704,0.0634376622834488,0.044922753678340664,0.026280903600548442,0.10830679212353732,0.0,0.0,0.1330229918423452,0.035634550020882956,0.0,1.0,1.0
Snrpb,0.023567274310871175,0.00011426479996819245,0.01605983382385028,0.0,0.0,0.0,0.0,0.0,0.028153983361430858,0.0,0.0,0.11209751361686933,-0.050847835103540046,0.0,0.0,-0.028795504060230757,0.0,0.0,-0.032538517966474355,-0.010948717937265573,-0.05045170797721336,0.003999267998886735,0.10830679212353732,0.0,0.0,0.0804937387767591,0.021625926424013942,0.0,1.0,1.0
Ccbe1,-0.14178853364367233,0.00017139719995228867,-0.007299924465386491,0.0,0.0,0.0,0.0,0.0,-0.008890731627807805,0.0,0.0,-0.07540664691968184,0.00034279439990457733,0.0,0.0,-0.011673852997390847,0.0,0.0,0.005083454111100812,-0.017847375110968164,0.020733578620772613,-0.02193884159389295,-0.05896493728811804,0.0,0.0,-0.16910313334512084,-0.06380337770832212,0.0,1.0,0.0
Ndst1,0.03324294521620399,0.0028566199501878337,-0.0021899773396159474,0.0,0.0,0.0,0.0,0.0,-0.0062976015339556496,0.0,0.0,0.11209751361686933,0.0068558878020236365,0.0,0.0,-0.028795504060230757,0.0,0.0,0.036591684641806704,0.10344595589527958,0.044922753678340664,0.026280903600548442,0.10830679212353732,0.0,0.0,0.12746628413074895,0.021625926424013942,0.0,1.0,1.0
Porcn,0.03324294521620399,0.0008569859997614434,-0.0021899773396159474,0.0,0.0,0.0,0.0,0.0,-0.027042641892637078,0.0,0.0,0.11209751361686933,0.0017139719995228869,0.0,0.0,-0.028795504060230757,0.0,0.0,0.026022190938850765,-0.07945676167544566,0.044922753678340664,0.00457059194971072,0.10830679212353732,0.0,0.0,0.09434603987947891,0.021625926424013942,0.0,1.0,1.0
Prps1,0.03324294521620399,0.0028566199501878337,-0.0021899773396159474,0.0,0.0,0.0,0.0,0.0,-0.0062976015339556496,0.0,0.0,-0.1933307569277914,0.0068558878020236365,0.0,0.0,-0.028795504060230757,0.0,0.0,0.020933695725704495,0.10344595589527958,0.044922753678340664,0.026280903600548442,0.02236207133453143,0.0,0.0,0.10025612460939508,0.021625926424013942,0.0,1.0,1.0
Ap1s3,0.03324294521620399,0.0028566199501878337,-0.0021899773396159474,0.0,0.0,0.0,0.0,0.0,-0.0062976015339556496,0.0,0.0,0.11209751361686933,0.0068558878020236365,0.0,0.0,0.07549091604979415,0.0,0.0,0.036591684641806704,0.10344595589527958,0.044922753678340664,0.026280903600548442,0.10830679212353732,0.0,0.0,0.12746628413074895,0.035634550020882956,0.0,1.0,1.0
Rassf5,0.03324294521620399,0.00028566199992048115,-0.007299924465386491,0.0,0.0,0.0,0.0,0.0,-0.008890731627807805,0.0,0.0,0.028504912202295504,0.0005713239998409623,0.0,0.0,-0.028795504060230757,0.0,0.0,0.008141377916265475,-0.03018797223309153,0.044922753678340664,0.0011426479996819246,-0.11331407676794027,0.0,0.0,-0.20156790610206754,0.021625926424013942,0.0,1.0,1.0
Uchl4,0.03324294521620399,0.0028566199501878337,-0.0021899773396159474,0.0,0.0,0.0,0.0,0.0,-0.0062976015339556496,0.0,0.0,0.11209751361686933,0.0068558878020236365,0.0,0.0,-0.028795504060230757,0.0,0.0,0.036591684641806704,0.10344595589527958,0.044922753678340664,0.026280903600548442,0.10830679212353732,0.0,0.0,0.12746628413074895,0.021625926424013942,0.0,1.0,1.0
