gene_name,gene_length.meta,9mo.2mo.activity.log_ratio.count.20kb-5Mb.enhancer_DMR,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_DMR,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_peak,9mo.2mo.log_ratio.DAR,9mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,DEG,pred
Hcn1,0.16856694095494115,-0.0340649404508226,0.0026333743487210837,0.05180331527748529,-0.018301461111096776,-0.035328066743472046,-0.33547670676318164,0.023336332072229946,0.022775360163958633,0.0,2.0
Mgat4c,0.29580885988167105,-0.01289739426882828,-0.006900359629927313,-0.06089492268202936,-0.021342594833935007,-0.06064263325841988,0.14292902943185148,0.0341341607272625,0.46932386571322293,2.0,0.0
Ar,-0.12000980439102825,-0.041346723542493934,0.0026333743487210837,0.05180331527748529,-0.02258470972232959,-0.0050756593837457545,-0.373526830554885,-0.034520977341076904,0.02671081290635116,2.0,2.0
C1ql1,0.3367356286548516,0.08925887613612063,0.01739846882136429,0.1489554387243355,-0.01866315129925223,0.0418437707292683,0.2920114513048354,0.006557004416690153,-0.017691979253226343,0.0,1.0
Plekhg1,-0.12393920422148179,-0.0441303845933255,-0.004653051605119425,-0.025815622004515985,-0.02258470972232959,-0.009894461535355625,-0.22006166088120901,-0.034520977341076904,-0.2552982537514147,2.0,2.0
Tjp2,-0.15319099247126894,-0.0441303845933255,-0.004653051605119425,-0.025815622004515985,-0.02258470972232959,-0.009380279218449313,-0.22006166088120901,0.007585369050502777,-0.2686669942101135,2.0,2.0
Olig1,0.23828685212442102,0.4327631662325824,0.0591432501507156,0.10317269159371362,0.08343653868445579,-0.15835824356797865,0.10419536258696634,0.006557004416690153,0.0777931592618937,0.0,0.0
Rab11fip4,-0.12393920422148179,-0.0441303845933255,-0.004653051605119425,0.011662633103482863,-0.02258470972232959,-0.009894461535355625,-0.25753992091973915,-0.034520977341076904,-0.2552982537514147,2.0,2.0
Klhl4,-0.09097016504143968,-0.019409997607855237,-0.014324209488490048,-0.10460949689149857,-0.040553058990660834,0.0018003587337101206,0.2286203986800769,0.007585369050502777,0.1475181361002957,2.0,2.0
Tpk1,0.19049300138345537,-0.026865602744852796,-0.006900359629927313,-0.06089492268202936,-0.021342594833935007,-0.0705817262916004,0.14016752931125023,0.023336332072229946,-0.35135103800498385,2.0,2.0
Rin2,-0.09829369617406936,-0.028169131070813713,-0.006900359629927313,-0.06089492268202936,0.16278270960730665,-0.15170683251584277,0.16495532315114841,0.007585369050502777,-0.3932375066968448,2.0,2.0
Sema3a,0.28160867418217306,-0.026865602744852796,-0.006900359629927313,-0.06089492268202936,-0.021342594833935007,-0.0705817262916004,0.04905186023782281,0.023336332072229946,-0.35135103800498385,2.0,2.0
Xist,-0.0821602428879808,0.35409528652534766,0.1050542276352644,-0.07587848735206268,-0.040553058990660834,0.0038314187789664548,0.08812788180897341,0.007585369050502777,0.13028971107183573,0.0,0.0
Plce1,0.17573143013150377,-0.02816854417324066,-0.004653051605119425,0.011662633103482863,-0.02258470972232959,0.0005588138147312053,-0.3993436194928911,0.0341341607272625,0.31587297214633403,2.0,2.0
C1ql3,-0.06242371035520645,0.04679169681142358,0.1024543141179225,-0.07587848735206268,0.16278270960730665,0.4901700213770656,0.3256516353610684,0.006557004416690153,0.1353983897715807,0.0,0.0
Nell2,0.29580885988167105,-0.01289739426882828,0.0027407516506226626,0.08338809720076182,-0.021342594833935007,-0.06064263325841988,0.1712481426075101,0.0341341607272625,0.400348237633486,0.0,0.0
Cpeb1,-0.14143108108135707,-0.050244317335240984,-0.022552652531029546,-0.03507656916318571,-0.02258470972232959,-0.006394481395973879,-0.34329586399390416,0.007585369050502777,-0.025280901641749284,2.0,2.0
4732471J01Rik,-0.14297471778905568,-0.039460661656716293,0.0026333743487210837,0.05180331527748529,-0.02258470972232959,-0.004561477066839442,-0.45211277239243775,0.007585369050502777,0.0837550738497692,2.0,2.0
9330111N05Rik,-0.11890721901812974,-0.028169131070813713,0.0027407516506226626,0.08338809720076182,-0.040553058990660834,-0.0030184434178997487,0.18792212932534955,0.007585369050502777,-0.46221313642009215,2.0,2.0
Btaf1,-0.13684144032680812,-0.03964923124979524,-0.006433188723509803,-0.06089492268202936,0.15898129245375886,0.011607853476615512,-0.19776797782191458,0.007585369050502777,-0.03277580374303986,2.0,1.0
Mcc,0.029606569421422833,-0.027478440171655488,-0.00029025133699178696,0.03754663390710073,-0.02258470972232959,-0.0030404624036129784,-0.38481962297330885,-0.2607329102123485,0.1991981924237574,2.0,2.0
Prr5l,-0.11362840506412528,-0.0441303845933255,-0.004653051605119425,0.011662633103482863,0.15898129245375886,0.006274869008099332,-0.3338248746414833,-0.034520977341076904,-0.2552982537514147,2.0,2.0
