gene_name,gene_length.meta,count.enhancer_DMR,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,count.enhancer_peak,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_peak,9mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.std.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_peak,rel_pos.DMR,distance.log2.DMR,18mo.9mo.Q.std.loops,loop_size.log.max.loops,9mo.2mo.Q.max.loops,loop_size.log.median.loops,9mo.2mo.Q.std.loops,loop_size.log.mean.loops,18mo.2mo.Q.std.loops,loop_size.log.min.loops,18mo.2mo.Q.min.loops,18mo.2mo.log_ratio.mcg_genebody,18mo.2mo.log_ratio.mch_genebody,9mo.2mo.log_ratio.mch_genebody,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,log2_distance.max.atac,9mo.2mo.log_ratio.mean.atac,count.atac,18mo.9mo.log_ratio.max.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.max.atac
Zscan18,35545.0,20,1.0,0.3625448170929015,27,0.3248726958219121,5,-0.4444784842545801,-0.8073549220421463,0.0,0.0304684279154225,1.14017542505327,0.3138127369136181,0.2618590721245479,0.476601111324446,0.5723581480326909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0414815857354934,-0.0065686148127073,0.0316245298400659,0.0,0.604525735594903,0.604525735594903,11.659103963473706,0.5907300774869695,1,0.0137956581079334,11.659103963473706,0.5907300774869695
Eps15l1,80461.0,0,0.0,0.0262862306539677,13,0.2090141661125315,4,0.1148579046580947,-1.5849625006249766,0.0,-0.1154264946961722,0.550665001434739,-0.00044119006934,-0.0305990636917341,0.1362389846015312,0.17012730266568,0.2848602512045269,14.554528898011672,0.001787352723026,16.5805235712328,0.007925099,15.999801862380863,0.0035126540738631,15.886725595336468,0.0033832276756633,14.965694113404153,-0.0030582344999999,-0.0322452926780247,0.025140535767766,0.0034634875897491,1.986237409066588,0.1606699022234273,0.4350188171211586,14.962263422704046,0.1292388119981791,8,0.3960701739145977,13.417037189115502,0.5066897593132981
Nxn,141942.0,4,0.0,0.1275443577821298,11,0.094351242629596,2,0.2297158093161895,0.1699250014403088,0.0,0.0119235932363008,1.3254498243785389,0.1275443577821298,-0.0119904693195347,0.16276294781901,0.16276294781901,0.2916638116512039,14.49985506184074,0.0031248465333004,16.095067301607052,0.00896352,14.67393013251355,0.0027385366997732,14.755439761920234,0.0031305641331274,13.73788107685778,-0.0013310479999999,-0.0019599845440157,-0.0009092426437291,-0.0344638012408016,0.6007905362080321,0.2228603966176109,0.4383164072442272,11.41521359876534,0.2035294066313527,3,0.031378171764786,10.925383559051804,0.4430797808145889
Sdhb,17990.0,11,0.0,0.2649361471329285,21,0.1937403724867827,5,0.4784634845462485,-1.999999999891798,1.0,0.0299300084126166,0.1953160165141085,0.2488574423368488,0.1529586188042153,0.2802451745087966,0.2535244270118411,0.0,0.0,0.0010019081434812,20.505336680644117,0.0022756373999999,19.62472050389583,0.0008660157584072,19.140257215344192,0.0010465592461017,15.551047315545956,-0.002682735,0.0248018175474547,0.0925114168506769,0.0377007801079742,0.476447946708405,0.3709716269674282,0.5170866798722247,11.791976820898729,0.2034243947194181,3,0.3870691624193467,11.328003772411392,0.3326184177225237
Slc25a26,104341.0,2,0.0,-0.0254519541855762,16,0.2721344027048857,4,0.0,0.0,0.0,-0.1358427198587835,0.9348918054637896,-0.0642144634261066,0.0463924408150395,0.137115588783957,0.1313942309197311,0.6978941668051273,14.146465884548496,0.0013211809514332,21.25736021729334,0.0016108932999999,17.811274335606463,0.0010566012923509,17.947196123479813,0.0010176627144949,13.510022358813766,-0.0025358843,0.017711023095734,-0.0198407426405996,-0.0548568446174418,1.770898470743541,-0.030822783165649,0.38503068130676,15.474022762747964,0.1875427031441028,9,0.2573152552497304,13.48613953424774,0.7515393514183644
Ndufs7,7673.0,17,1.0,0.0935759050426978,17,0.2328089027718669,4,0.0064988021334352,-0.222392421333013,2.0,-0.0053503347990231,0.4127492647406224,0.1164813181214943,0.1386866717598569,0.2194258200443762,0.2250859029468577,0.0,0.0,0.0016583113148835,18.16664366551285,-2.314290000000017e-05,17.99982618320155,0.0013210444792503,17.191069986086266,0.0007960785774122,15.428000239259852,-0.0027328584,0.0344586757816116,0.0617241044649486,-0.0164880753458684,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Fam71d,42981.0,7,2.0,-0.1789514222892254,17,0.1252303656114639,1,-0.9999999999639329,-0.9999999999639329,0.0,-0.3041541487793608,0.7071067811355406,-0.2082445762412967,-0.0537210566777615,-0.0537210566777615,-0.0537210566777615,0.0,0.0,0.0,13.970105890612182,-0.00309492,13.970105890612182,0.0,13.970105890612182,0.0,13.970105890612182,-0.002793461,-0.0333260515629882,0.0879444547966973,-0.0388825665536982,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Ubxn4,35414.0,4,1.0,-0.1097522415478884,18,0.1328573762983249,5,-0.052606881156179,-0.9999999999278651,2.0,-0.2308397266653683,0.0,-0.1139020229808821,-0.3093737948945576,-0.0830300386822071,-0.0979372083505705,0.0,0.0,0.0010102716118637,21.00006328822733,0.0012322969,19.044164624133856,0.0006970673828185,19.545674468800154,0.0009340232201118,18.68002980232821,-0.00143413453,0.0094424234216842,0.0353303522484633,0.1018667135539108,1.5940849614016177,0.0332071659860229,0.2006556795848244,13.971902746045476,0.1452852115615967,4,0.1600395440290629,11.644512922940764,0.8438097277871355
Taz,8239.0,14,5.0,-0.1373359030541228,21,0.1639357803170313,5,0.199999999985573,-1.1154772174069891,1.0,-0.3810726005305116,0.7444181756069218,-0.1061248699934784,-0.481702787762455,-0.0771533574612713,-0.0321511271876402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0605072349059574,0.0394541869308515,0.0185641747479875,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Gm11817,15238.0,12,2.0,-0.318890003883356,29,0.1892152752476033,5,-0.452606881132615,-2.3219280947719465,0.0,-0.4484726958568821,0.851807764523562,-0.2016577015283656,-0.2720013756301385,-0.1133501270907217,-0.166208737914812,0.0,0.0,0.002063998474959,19.64660441239856,0.0021303605,17.29113964240843,0.0011799063313068,17.315126974189898,0.0025651305838768,15.890881736923918,-0.0028195174,-0.0027896457103035,0.0506830511671069,-0.1195579137161738,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
