,DEG
Ctr9,1
Mkx,1
Tuba1a,0
Tfb1m,1
Ufc1,1
Hypk,1
Endov,1
A530053G22Rik,2
Pla2g6,1
Tyro3,0
Ap3m2,1
Rock1,1
Gemin8,1
Csmd2,1
Bcas2,1
Stk38,1
Hp1bp3,1
Sgms2,1
Evi5,1
Otud4,1
Btf3l4,1
Asah2,2
Atp11c,2
Dock5,2
Rpl41,0
Rpl24,0
Lrrc4c,2
Rras2,0
Cox14,0
Otud6b,1
Kcnj10,0
Rplp1,0
Syt11,0
Trim24,1
Osbpl2,1
S100a16,0
Chn1,1
Maea,1
Rps20,0
Slc4a2,0
Trim23,1
Prkcsh,0
Snrpc,1
Gtf2h5,1
Rps27a,0
Ptpn4,2
Pkia,2
Sap30l,1
Kcnq3,2
Sin3a,1
Dtnbp1,1
Gm16233,2
Ppp1r10,1
Tmem109,0
Plaa,1
Srd5a1,1
Kif6,2
Prr16,2
Mbip,0
AI504432,2
Sorcs1,2
Myrf,1
Rps16,0
Ccnc,2
Slc9b2,2
Abtb1,1
Sdf4,0
Sc5d,0
Rps24,0
Nme1,0
Mtx3,1
Pacsin1,2
Dtwd1,1
Elp5,1
Ahctf1,1
Mrgbp,1
Wdr70,2
Zfp804b,2
Ago4,2
Champ1,1
Pi4ka,1
Ankub1,2
Actr1b,0
Gtdc1,2
Nfe2l3,2
Ralgapa1,1
Insig1,1
Grm7,2
Blmh,1
Spata24,1
Npc2,0
Clcn2,1
Lrrn3,2
Zfp595,1
S1pr5,0
Helb,1
Pgam1,0
Qsox1,1
Tnks,1
Srcin1,1
Atp6v0a2,0
Scmh1,2
Fhdc1,1
Kif16b,1
Rassf2,1
Uba6,2
Fkbp8,0
Gpbp1,1
Hmgcr,0
Smim7,1
Sh3rf1,0
Gatad1,1
Atp5f1,0
Skap2,2
Spin1,1
1700047M11Rik,0
Psma6,1
Lig3,1
Bach2,2
Homer1,1
Cryab,0
Asap1,2
Pms2,1
Fam122a,0
Cd46,2
Ncoa1,1
Clip1,1
Map7d1,0
Rps28,0
Agmo,2
Klhl9,1
Sar1b,0
Cadm4,0
Prune2,0
Stk10,2
Leprot,0
Vps13a,2
Ndufb11,0
Rnpc3,1
Trim41,1
Micu2,1
Fzd3,0
Rpsa,0
Ccdc57,1
Lmo7,0
Litaf,0
B230369F24Rik,1
Sema6a,1
Mgat4b,1
Smoc1,0
Scfd1,1
Lpp,2
Ago3,1
Lsm8,1
Cops6,1
Zhx3,1
Shisa4,0
Mcts1,1
Sp2,1
Tmem165,1
Gpx4,0
Sec22b,1
Faah,0
Ddx39b,0
Pgm2l1,1
Elf2,1
Tjp1,1
Khsrp,1
Acvr2a,2
Gsr,1
Zfand3,1
Ibtk,1
Tsc22d3,0
Prkaa1,1
Bmp1,0
Pigk,1
Kit,0
Hmgxb3,1
Ssna1,0
Psmc2,1
Strip1,1
Sh3gl2,2
Tsga10,2
Marc2,0
Kif1c,1
Rnf135,1
Cmas,1
Tspan14,1
Galnt2,1
Azi2,2
Fkbp15,1
Mgat5,0
Fbxl12,2
Prox1,1
Ndufs2,0
Cog8,1
Zfp949,2
Ddit4,0
Tep1,2
Enoph1,1
Mrps6,1
Atp6ap1,0
Mrpl52,1
Dctn3,0
Seh1l,1
Mdh1,0
Cep112,2
Stk3,1
Col27a1,0
Ercc6l2,2
Zw10,1
Rbm6,1
Wscd2,2
Sh3tc2,2
Sclt1,2
Morn1,1
Npas3,1
Pot1b,2
Thrb,2
Atxn1l,1
Fgfbp3,1
Dph3,1
Sart1,1
Hist3h2ba,0
Supt3,1
Zfat,1
Osgin2,1
Mtfmt,1
B3gnt2,1
Mrpl51,0
Errfi1,1
Zfp318,1
Eno1,1
Arid5b,1
Mad1l1,0
Grina,0
Tanc1,2
Prkaca,1
Emc6,0
Fra10ac1,1
Rpl30,0
Bms1,1
Fbxo36,1
Pkig,0
Josd1,1
Rnf43,2
Atp6v1e1,1
Pqbp1,1
Snx2,1
BC004004,1
Inpp4b,2
Dock7,2
Lgr4,2
Ptn,0
Gclc,1
Rnf11,1
Rnf24,1
St3gal5,2
Lrrc8a,1
Gm12743,2
Dlgap4,1
Chic1,1
Enpp5,0
Tmem126a,1
Pcsk1n,0
Cdh11,2
Map3k1,2
5330434G04Rik,1
D230025D16Rik,1
Pgam5,1
Rpl23a,0
Ppp2r3d,1
Mlh3,1
Asf1a,1
Trabd,1
Mical3,1
Ylpm1,1
Nfkb1,2
Cct5,0
Dbi,0
Akr1b3,1
Rpl32,0
Gt(ROSA)26Sor,1
Tbc1d23,2
Fam57a,0
Lclat1,2
Vwa3b,2
Sh3bgrl,2
6720427I07Rik,1
Cox5b,0
Cct6a,0
Depdc7,2
Usp2,1
Tank,2
Tsc22d4,0
Dnajb9,1
Api5,1
Tbc1d20,1
Wbp2,1
Nsun5,1
Gm29325,1
Ttll5,1
Rabepk,1
Prpf4b,0
Txnl4a,0
2410004B18Rik,0
Mttp,1
Ftx,1
Creb5,1
1810058I24Rik,0
Jakmip2,2
Nrxn2,0
Zc3h6,2
Fpgt,1
Olig1,0
Nceh1,0
Efnb3,0
Trmt2b,1
Gm26782,1
Senp3,1
Pdlim1,2
Tmem68,1
Man1a,0
Ttc9c,1
2610507B11Rik,1
Gm14410,1
Lpin1,1
Acsl3,0
Fastk,1
Ctnnal1,2
Atp8a1,1
St3gal2,2
Smdt1,0
Lpcat2,1
Efr3b,2
Myl12a,0
Gm20457,1
Reep3,0
Cdkal1,1
Lims1,1
Idh3b,0
Fam13c,0
Dtd1,2
Dclre1b,1
Mrpl20,0
Sh3bp2,0
Atp6v0b,0
Rnf7,0
Dnajc1,1
Sept10,1
Akirin2,1
Als2,1
Nif3l1,1
Klhl4,2
Rhobtb3,1
1700030K09Rik,1
Cst3,0
2610316D01Rik,0
Mrfap1,0
Glul,0
Adamtsl1,2
Igsf8,0
4732471J01Rik,2
Twf1,1
Smarcd1,0
Cln8,0
