,DEG
Faf1,2
Pde4a,0
Cnot10,1
Mrps18c,1
1700093J21Rik,1
Srcap,0
Celf5,0
Mmd2,1
Vgf,0
Fdxr,1
Rhbdl3,0
Pan2,1
Wrb,1
Dmd,2
Pnkp,1
Farp1,0
Trrap,0
Klc1,0
Ptpn5,0
Mettl15,1
Tmem132a,0
4931414P19Rik,1
Pkd1,0
Rexo1,0
Mecp2,1
Cdk18,1
Cpt1c,0
Tk2,1
Rpl32,0
Gramd1a,0
Dpy30,1
Camkv,0
Brip1os,2
Agap3,0
Golt1b,1
Dlgap4,0
Kifc2,0
Eif2ak1,1
Nsmaf,1
Snx32,0
Arhgef15,1
4930525G20Rik,1
Sec14l1,0
Exoc4,2
Csmd2,0
Gnl1,1
Ap3b2,0
Pantr2,1
Ift122,1
Bud31,1
Slc20a1,0
Acp2,1
Las1l,0
N6amt1,1
Ksr2,0
Plxnd1,1
Pmpcb,1
Fam171a2,0
Mtfr1l,1
B3galt1,2
Rtn2,1
Zswim7,1
Arhgap23,0
Ddx23,1
Ccdc85a,1
Zfp790,1
