,DEG
Mrpl51,1
Sf3b2,1
Syt7,0
Nol11,1
Fbxw17,1
Zfp668,0
Tcf25,0
Pard6a,1
Cabp1,0
Wwc1,0
Wdr47,1
Gm29266,1
Zyx,0
Mef2d,0
Strip1,0
Smarcc2,0
Tef,0
Smyd3,2
Prr14l,0
Armc10,1
Polr2h,1
Aldh18a1,1
Mtch1,1
Rtn4r,1
Gnl1,0
Vipas39,0
Slc6a17,0
P2ry12,2
Slc16a10,1
Ube2j2,1
Grm1,2
Psmb1,0
Hexdc,0
Dctn5,1
Dpysl5,1
Frmpd3,0
1700008O03Rik,1
Flrt1,0
Mier3,0
Ube2n,1
Kcnd2,1
Snx32,0
Qtrt1,1
Tsix,2
Adck5,0
Macrod1,1
Mief1,1
Unc13b,0
Ece1,0
Ptma,0
Ttc14,0
Gsk3a,0
Srrm3,0
Wdr76,1
Tomm70a,1
Slitrk5,0
Nbn,1
Glt8d1,1
Smc6,1
Tmem209,1
Tma7,0
2810006K23Rik,1
Map1lc3b,0
Calm1,0
Atxn2,0
Epha10,0
Acad8,1
Lzts3,0
Slit1,0
Ap3d1,0
Gnb1,0
Nell1,1
Cep95,1
Camkmt,2
Srsf2,1
Tmem120b,0
Trim46,0
Sarm1,0
Ildr2,0
Plekhn1,0
E330009J07Rik,1
Iars,0
Mecr,1
Tbpl1,1
Pcdh9,1
Slc9a3r2,0
Pfkm,0
Snx1,0
Gmpr2,1
Eif3j1,0
Atn1,1
Cacng2,0
Spg7,0
Itpka,1
Sulf2,0
Stx1a,0
Rcn2,1
Cfap69,1
Arih2,0
9630028H03Rik,2
Habp4,0
Calm2,0
Rnf170,1
Dync1li2,0
Tmem208,0
Lrfn1,0
Col6a4,1
Zfp148,1
Sidt2,0
Cul3,2
Nudc,1
U2af1,0
Abcd4,0
Cnih3,1
Mrpl23,1
Rasal1,0
Arl2bp,0
Tmem107,1
Kcnq5,2
Yars,0
Pdia4,1
Cacnb1,0
Hrk,1
Pisd,0
Tbc1d1,1
Faah,0
Acbd6,2
Mapt,0
Usp54,1
Mok,1
Gm14286,1
Gm21860,0
Ddx21,1
4931406P16Rik,1
Ap1b1,1
Zcwpw2,1
Cdk7,1
Sh2d4b,1
Tuba4a,0
Hagh,0
Mapk8ip3,0
Ift172,0
Sclt1,1
Midn,1
Syngr1,0
Dnah7c,1
Romo1,1
Kbtbd2,1
Map6,0
Noc3l,1
Zfp235,1
Arf1,1
Nle1,1
Cox5b,0
Dbndd2,0
Dock4,2
Gm3693,1
Nfs1,0
Setx,0
Camkv,0
Alkbh1,0
Tdrp,1
Trpc4ap,0
Tnpo2,0
Camk2d,2
C330018D20Rik,1
Hnrnpm,1
Nono,0
Map3k10,0
Trappc13,1
Lancl2,1
Mmp17,0
Upp2,1
Fgfr2,2
1500035N22Rik,1
Gosr1,1
Numa1,0
Tab2,1
Nrp1,0
Rasl11b,1
Mtmr4,1
Tmem39b,1
D030056L22Rik,1
Yrdc,1
Mrps23,1
Cdh12,2
Mrpl17,1
Nadsyn1,1
Tpr,0
Epn2,0
Srcap,0
Ciz1,0
Tert,1
Slc41a2,0
AU022252,1
Srrm2,0
Atg9a,0
Camk2b,0
Pitpna,0
Ngef,0
4933434E20Rik,0
Gm28376,2
Mrps26,1
Sema5b,0
Gga2,1
Rab26,0
Smyd5,1
Polr1a,0
Dennd6b,0
Gm13830,1
Ube4a,1
Dpp8,1
Pdhb,0
Prkag2,0
Snx12,1
Ids,0
Gm10767,1
Amph,1
Hdac3,0
Mitd1,1
Zfp740,0
5530401A14Rik,2
Col4a2,0
Anapc16,1
Itga7,1
Akr1a1,1
4933439C10Rik,1
Impad1,1
Med20,1
Elmod1,0
Tmed9,0
Dip2b,0
Vdac3,1
Zfp563,1
Arl1,1
Pard3,2
Ercc1,1
Poc1a,1
Eif3i,1
Utp3,1
Tmem38a,0
Ddx20,1
Letm1,1
Rabgef1,0
BC029722,1
Tmeff2,2
Ipo8,0
Tmem67,1
Hip1r,1
Xist,2
Tenm2,2
Timm13,1
Tbl3,1
Senp2,0
4921531C22Rik,1
Unc13a,0
Chd4,0
Bin1,0
Dhx57,0
Rragd,1
Parm1,1
Trerf1,0
Gpr162,0
Myl6,0
Rnf144a,1
Vps37c,1
Ddx49,1
Svop,0
Slc8a2,0
Grasp,1
Vangl2,0
Khnyn,1
Zcchc14,0
Cops3,1
Zfp444,1
Mbd5,2
Eef1a2,0
Faim2,0
Rasgrp1,0
Pitpnc1,0
Syngap1,0
Atp9a,0
Mrps34,1
Slc4a1ap,1
Pabpn1,0
Cherp,0
Pmepa1,1
Tbc1d17,0
Pla2g4e,1
Zdhhc8,0
Fdft1,1
Rsf1os2,2
Wnt5b,1
Dab2ip,0
Nabp2,1
Cox8a,0
Ankrd28,2
Mtif2,1
Phyhd1,0
Sar1a,1
Snrnp70,0
Eif5,1
Psmg3,1
Mettl21a,1
Pigq,0
Acvr2b,1
Slc27a4,0
Pabpc4,0
Stk3,2
Spred2,0
Arfrp1,1
Nbeal1,2
Otud5,0
Arglu1,2
Tmem184c,1
Sema6a,1
Trappc5,1
Ephb6,0
Csf2ra,1
Actr2,0
Arpc4,1
Gdap1l1,0
Nav1,1
Swt1,1
Kif1a,0
Plagl1,1
Aplp1,0
Mbtps1,1
Mta2,1
Ppp2r5b,0
Dna2,1
Oprm1,2
Eml5,0
Tob1,1
Klhl8,0
Pdzd4,0
Mrps28,1
Taf11,1
Sidt1,1
Poli,1
Ndufaf7,1
Adamts20,1
Ptdss1,1
Megf8,0
Mt1,1
Pex12,1
Vwa8,1
Slc35a3,1
Gpsm2,1
Rnf168,1
Erich6,1
Pde3b,2
Fus,0
Limk1,0
Per1,0
Etaa1,1
Ppp3ca,1
Chdh,2
Cluap1,0
Gm3764,0
Cdh6,1
Qrich1,1
Cntn5,1
Fasn,0
Lpcat4,0
Tmco3,0
Dpf1,0
Xpot,1
Zfp94,1
Cradd,1
Arpc1a,0
Pde8b,1
Cyb561a3,1
H3f3a,1
Gng4,1
Htr1f,1
Adra1a,0
Fbl,1
Ipo9,1
Ksr1,0
Fxyd5,0
Zscan22,1
Ccnl2,0
Ppp1r21,0
Atxn3,1
Zfp397,1
Lrrfip1,0
Brms1,1
Psma1,0
Sesn1,1
Slc17a6,1
Sdr39u1,1
Pex1,0
Stmn3,0
Timp2,1
Fxr2,0
Atp11b,0
Dcp1b,1
Celsr2,0
Rab30,1
Stk40,1
Ranbp10,0
Rbm25,0
Usp7,0
Mkln1os,1
Gm26788,1
Csmd3,1
Car11,0
Cpeb3,0
Gzmk,1
Sirt1,1
Gm27008,1
Dlgap3,0
Fam76a,0
Gpc5,1
Kif22,1
Lrrc19,1
Fkbp8,0
Parp11,1
Prkab1,1
Aarsd1,1
Hps4,0
Ncan,0
Tab1,1
Tubgcp3,1
Srebf2,0
Cyb5b,1
Rabggta,1
Ccz1,1
Ndufs3,0
