2mo,9mo,18mo,gene_name,distance
0.71,0.63,0.47,AC123072.1,162697
0.62,0.77,0.84,Dst,189138
0.62,0.77,0.84,AC123072.1,189091
0.86,0.81,0.59,Dst,198867
0.86,0.81,0.59,AC123072.1,198820
0.84,0.74,0.6,Dst,193113
0.84,0.74,0.6,AC123072.1,192044
0.76,0.84,0.63,Dst,191187
0.76,0.84,0.63,AC123072.1,190118
0.35,0.14,0.13,Dst,190304
0.35,0.14,0.13,AC123072.1,189235
0.8,0.68,0.52,Dst,186963
0.8,0.68,0.52,AC123072.1,185894
0.73,0.66,0.53,Dst,186527
0.73,0.66,0.53,AC123072.1,185458
0.8,0.71,0.58,Dst,183763
0.8,0.71,0.58,AC123072.1,182694
0.67,0.81,0.91,Dst,179814
0.67,0.81,0.91,AC123072.1,178745
0.26,0.31,0.56,Dst,179663
0.26,0.31,0.56,AC123072.1,178594
0.45,0.2,0.29,Dst,155635
0.45,0.2,0.29,AC123072.1,154566
0.5,0.31,0.26,DST,1817
0.5,0.31,0.26,Dst,127442
0.5,0.31,0.26,AC123072.1,126373
0.56,0.36,0.3,Dst,122116
0.56,0.36,0.3,AC123072.1,121047
0.62,0.58,0.42,Dst,121882
0.62,0.58,0.42,AC123072.1,120813
0.32,0.13,0.05,Dst,120543
0.32,0.13,0.05,AC123072.1,119474
0.76,0.65,0.51,Dst,110099
0.76,0.65,0.51,AC123072.1,109030
0.86,0.58,0.85,Dst,108349
0.86,0.58,0.85,AC123072.1,107280
0.61,0.81,0.72,Dst,105572
0.61,0.81,0.72,AC123072.1,104503
0.59,0.41,0.39,Dst,99732
0.59,0.41,0.39,AC123072.1,98663
0.47,0.37,0.15,Dst,85165
0.47,0.37,0.15,AC123072.1,84096
0.65,0.53,0.41,Dst,85040
0.65,0.53,0.41,AC123072.1,83971
0.57,0.63,0.79,Dst,76865
0.57,0.63,0.79,AC123072.1,75796
0.58,0.39,0.28,RP24-422C24.2,1157
0.58,0.39,0.28,Dst,74908
0.58,0.39,0.28,AC123072.1,73839
0.48,0.6,0.68,RP24-422C24.2,2793
0.48,0.6,0.68,Dst,72634
0.48,0.6,0.68,AC123072.1,71565
0.49,0.29,0.34,Dst,56861
0.49,0.29,0.34,AC123072.1,55792
0.76,0.62,0.48,Dst,46009
0.76,0.62,0.48,AC123072.1,44940
0.34,0.12,0.13,RP24-422C24.3,1011
0.34,0.12,0.13,Dst,41768
0.34,0.12,0.13,AC123072.1,40699
0.76,0.67,0.56,Dst,34693
0.76,0.67,0.56,AC123072.1,33624
0.36,0.19,0.14,Dst,31179
0.36,0.19,0.14,AC123072.1,30110
0.8,0.91,0.71,Dst,24245
0.8,0.91,0.71,AC123072.1,23176
0.8,0.75,0.59,Dst,17203
0.8,0.75,0.59,AC123072.1,16134
0.3,0.54,0.48,Dst,11662
0.3,0.54,0.48,AC123072.1,10593
0.31,0.5,0.54,Dst,10902
0.31,0.5,0.54,AC123072.1,9833
0.77,0.78,0.57,Gm3052,1854
0.18,0.24,0.44,mmu-mir-5103,1457
0.18,0.24,0.44,Mir5103,1392
0.32,0.55,0.57,mmu-mir-5103,926
0.32,0.55,0.57,Mir5103,861
0.19,0.27,0.42,mmu-mir-5103,791
0.19,0.27,0.42,Mir5103,726
0.36,0.55,0.59,Ptpn18,788
0.58,0.66,0.78,Ptpn18,5537
0.78,0.69,0.53,Ptpn18,6744
0.53,0.75,0.63,Ptpn18,4362
0.53,0.75,0.63,Gm28417,1777
0.67,0.81,0.52,4930568A12Rik,2054
0.67,0.81,0.52,Ptpn18,512
0.61,0.59,0.37,4930568A12Rik,4284
0.21,0.25,0.53,Cfc1,4069
0.21,0.25,0.53,Gm28419,1631
0.44,0.29,0.2,RP24-70I14.4,2255
0.33,0.62,0.72,Arhgef4,34617
0.64,0.55,0.8,Arhgef4,34745
0.62,0.85,0.73,Arhgef4,50954
0.68,0.55,0.82,Arhgef4,64934
0.7,0.84,0.6,Arhgef4,68332
0.51,0.28,0.31,Arhgef4,46368
0.57,0.4,0.35,Arhgef4,46210
0.61,0.43,0.36,Arhgef4,12772
0.55,0.28,0.3,RP23-348C6.3,2698
0.55,0.28,0.3,Fam168b,9
0.55,0.28,0.3,Arhgef4,4099
0.86,0.89,0.62,Fam168b,4986
0.55,0.38,0.6,Fam168b,12567
0.71,0.55,0.46,Plekhb2,3826
0.83,0.87,0.67,Plekhb2,13259
0.46,0.59,0.31,RP23-348C6.4,1107
0.55,0.51,0.73,RP24-550I15.1,9950
0.62,0.68,0.47,Gm28415,3225
0.08,0.12,0.34,RP24-424K5.4,2782
0.17,0.31,0.45,RP24-424K5.4,2969
0.78,0.63,0.83,RP24-424K5.4,3338
0.44,0.37,0.22,RP24-424K5.2,2194
0.48,0.38,0.21,RP24-424K5.2,2151
0.66,0.55,0.43,Hs6st1,1232
0.67,0.53,0.42,Hs6st1,9633
0.42,0.46,0.25,Hs6st1,20617
0.77,0.88,0.66,RP23-173H19.3,4299
0.45,0.27,0.21,RP23-173H19.3,331
0.45,0.27,0.21,Uggt1,2388
0.67,0.46,0.54,Mir6897,758
0.67,0.46,0.54,Uggt1,7528
0.7,0.69,0.47,Uggt1,9488
0.69,0.55,0.34,Uggt1,17778
0.67,0.61,0.42,Uggt1,24033
0.66,0.53,0.34,Uggt1,35422
0.61,0.43,0.33,Uggt1,35702
0.59,0.53,0.36,Uggt1,43077
0.77,0.7,0.56,Uggt1,33156
0.44,0.21,0.24,Uggt1,19147
0.7,0.78,0.56,Neurl3,6323
0.55,0.35,0.29,Neurl3,6642
0.69,0.46,0.62,Neurl3,2980
0.69,0.57,0.42,Arid5a,7152
0.69,0.9,0.8,Arid5a,8267
0.55,0.34,0.29,Arid5a,7034
0.58,0.48,0.37,Arid5a,5307
0.92,0.78,0.7,Mir6898,1559
