,cv,feature,class,weight
185,0,log2_distance.std.atac,down,-0.06205890967393295
186,0,9mo.2mo.log_ratio.max.atac,down,0.0
187,0,18mo.9mo.log_ratio.max.atac,down,0.029381462589247523
188,0,18mo.2mo.log_ratio.max.atac,down,0.06852326211043036
189,0,log2_distance.max.atac,down,0.0
190,0,9mo.2mo.log_ratio.min.atac,down,0.0
191,0,18mo.9mo.log_ratio.min.atac,down,0.0533134146758138
192,0,18mo.2mo.log_ratio.min.atac,down,0.0
193,0,log2_distance.min.atac,down,0.0
194,0,count.atac,down,-0.04933055325061364
195,1,gene_length.meta,down,-0.27192097315036384
196,1,9mo.2mo.activity.log_ratio.count.0-5kb.enhancer_DMR,down,0.003780181087820556
197,1,18mo.2mo.activity.log_ratio.count.0-5kb.enhancer_DMR,down,0.07565075920469601
198,1,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_DMR,down,-1.1072932437067509e-06
199,1,9mo.2mo.contact.log_ratio.count.0-5kb.enhancer_DMR,down,0.003780181087820556
200,1,18mo.2mo.contact.log_ratio.count.0-5kb.enhancer_DMR,down,0.07565075920469601
201,1,18mo.9mo.contact.log_ratio.count.0-5kb.enhancer_DMR,down,-1.1072932437067509e-06
202,1,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,down,0.0
203,1,9mo.2mo.activity.log_ratio.median.5kb-20kb.enhancer_DMR,down,0.0667500526051479
204,1,9mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,down,-0.26252019156481393
205,1,9mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,down,0.2626609725062127
206,1,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,down,0.08552899836260978
207,1,18mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,down,0.0
208,1,18mo.2mo.activity.log_ratio.median.5kb-20kb.enhancer_DMR,down,0.0
209,1,18mo.2mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,down,0.018351512936652298
210,1,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,down,0.0
211,1,18mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,down,0.0
212,1,18mo.9mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,down,0.0
213,1,18mo.9mo.activity.log_ratio.median.5kb-20kb.enhancer_DMR,down,0.05599067108618444
214,1,18mo.9mo.activity.log_ratio.max.5kb-20kb.enhancer_DMR,down,0.0
215,1,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,down,-0.09188417830397842
216,1,18mo.9mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,down,0.0
217,1,9mo.2mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,down,0.0
218,1,9mo.2mo.contact.log_ratio.median.5kb-20kb.enhancer_DMR,down,0.0
219,1,9mo.2mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,down,0.13308522721271973
220,1,9mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,down,-0.17355544564397277
221,1,9mo.2mo.contact.log_ratio.count.5kb-20kb.enhancer_DMR,down,0.08552899836260978
222,1,18mo.2mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,down,-0.017934213496958583
223,1,18mo.2mo.contact.log_ratio.median.5kb-20kb.enhancer_DMR,down,0.0
224,1,18mo.2mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,down,0.0
225,1,18mo.2mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,down,-0.06422949029657746
226,1,18mo.2mo.contact.log_ratio.count.5kb-20kb.enhancer_DMR,down,0.0
227,1,18mo.9mo.contact.log_ratio.mean.5kb-20kb.enhancer_DMR,down,4.704071441658329e-06
228,1,18mo.9mo.contact.log_ratio.median.5kb-20kb.enhancer_DMR,down,3.1305198258677448e-06
229,1,18mo.9mo.contact.log_ratio.max.5kb-20kb.enhancer_DMR,down,0.12198784367680343
230,1,18mo.9mo.contact.log_ratio.min.5kb-20kb.enhancer_DMR,down,-0.011631318851069338
231,1,18mo.9mo.contact.log_ratio.count.5kb-20kb.enhancer_DMR,down,0.0
232,1,9mo.2mo.activity.log_ratio.count.20kb-5Mb.enhancer_DMR,down,0.028491994460683068
233,1,18mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_DMR,down,0.0
234,1,18mo.2mo.activity.log_ratio.median.20kb-5Mb.enhancer_DMR,down,0.11883803752543744
235,1,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_DMR,down,-0.017365197442870486
236,1,18mo.2mo.activity.log_ratio.min.20kb-5Mb.enhancer_DMR,down,-0.028762442431089063
237,1,18mo.2mo.activity.log_ratio.count.20kb-5Mb.enhancer_DMR,down,-0.016232162904787687
238,1,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_DMR,down,0.0
239,1,18mo.9mo.activity.log_ratio.median.20kb-5Mb.enhancer_DMR,down,0.0
240,1,18mo.9mo.activity.log_ratio.max.20kb-5Mb.enhancer_DMR,down,-0.007297028167720882
241,1,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_DMR,down,0.0
242,1,18mo.9mo.activity.log_ratio.count.20kb-5Mb.enhancer_DMR,down,0.0016036972667269446
243,1,9mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_DMR,down,0.028491994460683068
244,1,18mo.2mo.contact.log_ratio.mean.20kb-5Mb.enhancer_DMR,down,3.3058196801849687e-06
245,1,18mo.2mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,down,0.0
246,1,18mo.2mo.contact.log_ratio.max.20kb-5Mb.enhancer_DMR,down,1.6966497842586228e-06
247,1,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_DMR,down,0.054896995730701996
248,1,18mo.2mo.contact.log_ratio.count.20kb-5Mb.enhancer_DMR,down,-0.016232162904787687
249,1,18mo.9mo.contact.log_ratio.mean.20kb-5Mb.enhancer_DMR,down,0.0
250,1,18mo.9mo.contact.log_ratio.median.20kb-5Mb.enhancer_DMR,down,0.037534741946561756
251,1,18mo.9mo.contact.log_ratio.max.20kb-5Mb.enhancer_DMR,down,-0.03142161461272583
252,1,18mo.9mo.contact.log_ratio.min.20kb-5Mb.enhancer_DMR,down,1.8226568189045145e-06
253,1,18mo.9mo.contact.log_ratio.count.20kb-5Mb.enhancer_DMR,down,0.0016036972667269446
254,1,count.enhancer_DMR,down,0.15770598868911107
255,1,9mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,down,0.0
256,1,18mo.2mo.activity.log_ratio.count.0-5kb.enhancer_peak,down,0.0
