cell_type,gene,DEG,pred,dmr,mcg_genebody,mch_genebody,atac,hic_loop,hic_abc_dmr,hic_abc_peak
L5_ET_CTX_Glut,Rap1gap,-1,-1,0.13160646,0.13948874,0.09218831,0.14300162,0.4030375,0.019916717,0.0707606
L5_ET_CTX_Glut,Dvl1,-1,-1,0.100991525,0.07637267,0.115273066,0.09746324,0.15364471,0.13628569,0.31996912
L5_ET_CTX_Glut,Etl4,1,0,0.15299541,0.09375799,0.26192462,0.14450347,0.20818195,0.089667246,0.048969306
L5_ET_CTX_Glut,4930402H24Rik,-1,-1,0.12880877,0.1342558,0.08102598,0.18130347,0.30024207,0.11230051,0.06206351
L5_ET_CTX_Glut,Exoc4,1,1,0.14616707,0.09337545,0.23294164,0.1468355,0.21128657,0.12005778,0.04933595
L5_ET_CTX_Glut,Ptk2b,-1,-1,0.09148921,0.05027398,0.055242535,0.12284561,0.4033102,0.09180316,0.18503527
L5_ET_CTX_Glut,Cacna1h,-1,-1,0.1025702,0.08418316,0.069642834,0.09258421,0.43899077,0.14997622,0.062052466
L5_ET_CTX_Glut,Eif4g1,-1,-1,0.0920522,0.101447254,0.06108322,0.097836226,0.29540998,0.14761016,0.20456086
L5_ET_CTX_Glut,Ptpro,-1,0,0.09743211,0.06343417,0.30563107,0.11303938,0.22805628,0.12709655,0.06531035
L5_ET_CTX_Glut,Kcnn2,1,0,0.15758106,0.09701559,0.13887312,0.19784364,0.29025167,0.029043302,0.08939168
L5_ET_CTX_Glut,Tmem132a,-1,-1,0.11970056,0.07550256,0.12417183,0.12466695,0.25284076,0.14605993,0.15705733
L5_ET_CTX_Glut,Flnb,-1,-1,0.1861506,0.08597028,0.122709945,0.16888426,0.013266365,0.19723955,0.22577907
L5_ET_CTX_Glut,Dnmt3a,-1,-1,0.13487117,0.08509149,0.09177529,0.15154025,0.35335505,0.1137331,0.069633625
L5_ET_CTX_Glut,Flna,-1,-1,0.20528834,0.1457463,0.16644527,0.12144663,0.017172184,0.18926392,0.15463741
L5_ET_CTX_Glut,Arhgap20os,1,0,0.15101467,0.14681746,0.1424135,0.12651412,0.15340586,0.21189094,0.06794341
L5_ET_CTX_Glut,Prkag1,-1,-1,0.10178826,0.08578253,0.098409794,0.117426574,0.24626614,0.15558958,0.19473718
L5_ET_CTX_Glut,Pi4ka,-1,-1,0.13044918,0.062481772,0.076280355,0.14311056,0.19599482,0.22501145,0.16667184
L5_ET_CTX_Glut,Slmap,1,-1,0.115051694,0.073677175,0.12117209,0.10695012,0.37794077,0.07312516,0.132083
L5_ET_CTX_Glut,Acin1,-1,-1,0.13661805,0.10074513,0.07558086,0.14860645,0.33219767,0.103649415,0.10260241
L5_ET_CTX_Glut,Atp1a1,-1,-1,0.13419735,0.09666194,0.09895872,0.15688899,0.2563861,0.1459329,0.110974014
L5_ET_CTX_Glut,Ablim2,-1,-1,0.08910908,0.061435502,0.051362198,0.12530641,0.34817705,0.16168375,0.162926
L5_ET_CTX_Glut,Gpatch8,-1,-1,0.12853444,0.09284769,0.081458196,0.10923289,0.32983202,0.20324515,0.0548496
L5_ET_CTX_Glut,Stx1a,-1,-1,0.12903598,0.07441122,0.08037969,0.14099178,0.09354739,0.177307,0.30432695
L5_ET_CTX_Glut,Lsm7,-1,0,0.18865871,0.20852655,0.32811764,0.18123075,0.01891417,0.03244821,0.042103946
L5_ET_CTX_Glut,Farp1,-1,-1,0.09757056,0.048977595,0.06248805,0.11598429,0.35652712,0.14909187,0.16936056
L5_ET_CTX_Glut,Col6a1,-1,-1,0.07870883,0.0856812,0.14923197,0.06711549,0.32685772,0.0991421,0.19326271
L5_ET_CTX_Glut,Svop,-1,0,0.19241107,0.11397033,0.13424496,0.20648567,0.2258007,0.035242222,0.09184502
L5_ET_CTX_Glut,Rit2,1,0,0.13199645,0.11976871,0.19022481,0.13230214,0.23538908,0.12464757,0.06567121
L5_ET_CTX_Glut,Mbtd1,-1,-1,0.14192204,0.0866742,0.0835853,0.14663394,0.0142285405,0.23835954,0.28859642
L5_ET_CTX_Glut,Atp1a3,-1,-1,0.107933044,0.10458997,0.06408612,0.09770238,0.21867655,0.1405673,0.26644465
L5_ET_CTX_Glut,Bsdc1,-1,0,0.104543775,0.07518196,0.11661105,0.13120575,0.34960523,0.12394247,0.0989097
L5_ET_CTX_Glut,Socs7,-1,-1,0.0892515,0.07430502,0.076360896,0.1286051,0.29124406,0.121333785,0.21889967
L5_ET_CTX_Glut,5330438D12Rik,1,0,0.19067882,0.17255445,0.20552516,0.1872679,0.0191167,0.12586679,0.09899024
L5_ET_CTX_Glut,Ap3b2,-1,-1,0.10860666,0.08135908,0.109230295,0.14665377,0.33853686,0.14688511,0.068728276
L5_ET_CTX_Glut,Jph4,-1,-1,0.0853955,0.21151598,0.081703976,0.10288691,0.26839495,0.09189857,0.15820412
L5_ET_CTX_Glut,Mat2a,-1,-1,0.092430666,0.23797831,0.08054114,0.09536515,0.19461574,0.107901394,0.19116758
L5_ET_CTX_Glut,Radil,-1,-1,0.10389993,0.053777482,0.1244669,0.109636106,0.4387916,0.09716923,0.0722588
L5_ET_CTX_Glut,Grm8,1,1,0.11680471,0.09752168,0.13454692,0.15666026,0.22594097,0.20673284,0.06179264
L5_ET_CTX_Glut,Ppp1r12c,-1,0,0.1591274,0.0719125,0.13441528,0.19052164,0.12573312,0.24382268,0.07446739
L5_ET_CTX_Glut,Ptprs,-1,-1,0.10119841,0.060180984,0.051132564,0.11643193,0.36784804,0.11596743,0.18724072
L5_ET_CTX_Glut,Arhgef10l,-1,-1,0.083948635,0.058968697,0.08726084,0.11097804,0.42542416,0.17715481,0.05626482
L5_ET_CTX_Glut,Slc44a2,-1,-1,0.12244584,0.08572724,0.12080044,0.08036851,0.20438688,0.1377879,0.24848317
L5_ET_CTX_Glut,Echdc2,-1,0,0.09516615,0.06656074,0.40175003,0.0896927,0.10508807,0.084963374,0.15677887
L5_ET_CTX_Glut,Zfp523,-1,-1,0.086767465,0.07713578,0.11273158,0.119392045,0.2858256,0.14244525,0.17570229
L5_ET_CTX_Glut,Rfx5,0,0,0.07653704,0.12836687,0.24062356,0.13712548,0.10319848,0.12250416,0.19164436
L5_ET_CTX_Glut,Lancl1,0,0,0.09824321,0.1695618,0.344039,0.06101254,0.17801653,0.005619041,0.14350785
L5_ET_CTX_Glut,Cpne9,0,0,0.044129245,0.08774382,0.33960718,0.09062017,0.10590491,0.25194684,0.08004778
L5_ET_CTX_Glut,Rif1,0,0,0.060162947,0.10988886,0.49769345,0.037363335,0.186088,0.026049053,0.082754366
L5_ET_CTX_Glut,Rabif,0,0,0.0867339,0.16813983,0.23644894,0.15294388,0.17522192,0.057829767,0.12268183
L5_ET_CTX_Glut,Gm14966,0,-1,0.042112462,0.101669915,0.063885346,0.10144603,0.21082418,0.40959185,0.07047024
L5_ET_CTX_Glut,Ahdc1,0,-1,0.39234975,0.07065205,0.058095586,0.11366611,0.1731913,0.13721746,0.05482777
L5_ET_CTX_Glut,Gm15398,0,0,0.067365535,0.09340718,0.4138534,0.09303639,0.18975943,0.042013466,0.10056463
L5_ET_CTX_Glut,Fn3k,0,0,0.069791675,0.12574744,0.267393,0.13474351,0.011471681,0.2898637,0.10098894
L5_ET_CTX_Glut,Fam155a,0,-1,0.5861943,0.039444163,0.030518673,0.08362365,0.19351225,0.021397464,0.04530954
L5_ET_CTX_Glut,Zfp236,0,-1,0.26043022,0.1559407,0.09570159,0.1692439,0.19316843,0.0036035962,0.12191159
L5_ET_CTX_Glut,Appl1,0,-1,0.12677217,0.21620283,0.176757,0.22178249,0.020837586,0.06849522,0.16915269
L5_ET_CTX_Glut,Prr14l,0,0,0.09162802,0.16718602,0.12628397,0.1653202,0.13485304,0.17486721,0.1398615
L5_ET_CTX_Glut,Dnajc5,0,-1,0.21042958,0.10671925,0.064101525,0.108432636,0.14282963,0.2719715,0.09551593
L5_ET_CTX_Glut,Cops5,0,0,0.095489696,0.1808024,0.090204604,0.18488851,0.18705168,0.119104475,0.14245865
L5_ET_CTX_Glut,Tprkb,0,-1,0.06874092,0.1117118,0.13876131,0.11404115,0.2262072,0.17528743,0.16525021
L5_ET_CTX_Glut,Apc,0,0,0.067319594,0.15436296,0.08990407,0.15920772,0.2922854,0.11254265,0.12437763
L5_ET_CTX_Glut,Ap3m2,0,0,0.050903887,0.098872155,0.15850966,0.08541928,0.11094908,0.4126061,0.082739815
L5_ET_CTX_Glut,Msl3l2,0,0,0.07075266,0.12508646,0.37453568,0.116221435,0.1429822,0.0702387,0.100182965
L5_ET_CTX_Glut,Pfdn6,0,0,0.09347351,0.18202794,0.10801282,0.13133432,0.099456795,0.17696965,0.20872499
L5_ET_CTX_Glut,Vmn2r84,0,0,0.09960139,0.18527882,0.39170837,0.061856024,0.016371517,0.14604144,0.09914235
L5_ET_CTX_Glut,Chpf,0,-1,0.08150032,0.16039345,0.07954491,0.17805472,0.19749583,0.14621985,0.15679093
L5_ET_CTX_Glut,Det1,0,-1,0.04017971,0.0694396,0.15362962,0.06423563,0.041816585,0.5661735,0.06452542
L5_ET_CTX_Glut,Scn1b,0,-1,0.1302856,0.111814015,0.08322144,0.119804636,0.0113077555,0.38124308,0.16232355
L5_ET_CTX_Glut,Cntnap5a,0,1,0.08038067,0.06999298,0.17844306,0.11720463,0.330804,0.14807107,0.075103536
L5_ET_CTX_Glut,Neto2,0,1,0.08317529,0.16735691,0.14692771,0.051654827,0.37168077,0.06290973,0.11629487
L5_ET_CTX_Glut,Grid2,0,1,0.14402951,0.073258944,0.069401786,0.15901072,0.4790211,0.0021642162,0.07311373
L5_ET_CTX_Glut,Ccdc59,0,0,0.098127134,0.17545103,0.12890725,0.1931541,0.1757015,0.09113581,0.13752325
L5_ET_CTX_Glut,Lrsam1,0,-1,0.06469105,0.094323575,0.10870931,0.09175561,0.16483465,0.3884669,0.08721884
L5_ET_CTX_Glut,Xpo4,0,0,0.06295084,0.10943837,0.34986532,0.069196574,0.23897591,0.08097206,0.088601045
L5_ET_CTX_Glut,Dnajc17,0,-1,0.24080098,0.09491961,0.14457054,0.0942673,0.096999936,0.24371696,0.08472463
L5_ET_CTX_Glut,Mrpl47,0,-1,0.039104216,0.07655253,0.06546246,0.07818813,0.006427574,0.64883953,0.08542559
L5_ET_CTX_Glut,Baz2a,0,-1,0.042973004,0.077029034,0.04058031,0.068858646,0.17191494,0.52952677,0.06911735
L5_ET_CTX_Glut,Tmod3,0,0,0.06408762,0.098840654,0.5187799,0.104832605,0.101191275,0.02138378,0.090884216
L5_ET_CTX_Glut,Mlh3,0,0,0.047965422,0.082219064,0.3364776,0.07047292,0.10633922,0.26679572,0.08973009
L5_ET_CTX_Glut,Cbln2,0,0,0.043130178,0.084905244,0.5787063,0.07418309,0.11364114,0.03923713,0.066196926
L5_ET_CTX_Glut,Atad1,0,-1,0.25629717,0.1056744,0.107281156,0.12781875,0.21903296,0.08246502,0.101430625
L5_ET_CTX_Glut,Sprn,0,0,0.08607898,0.17001893,0.10768811,0.053458113,0.14880805,0.25786778,0.17608003
L5_ET_CTX_Glut,Trmt61b,0,0,0.06528125,0.11293896,0.3667274,0.10174683,0.20919159,0.019199489,0.12491443
L5_ET_CTX_Glut,Bbs2,0,-1,0.05181131,0.07858229,0.22300102,0.1083844,0.08381312,0.357458,0.09694996
L5_ET_CTX_Glut,Mief1,0,0,0.15416977,0.29240415,0.16443239,0.34794885,0.025340935,0.0062929066,0.009411029
L5_ET_CTX_Glut,Gm15261,0,0,0.09365785,0.17531572,0.36239958,0.17759629,0.015394572,0.04078512,0.13485083
L5_ET_CTX_Glut,Syt9,0,0,0.073405415,0.116796486,0.20513935,0.13408718,0.26327538,0.09978584,0.10751035
L5_ET_CTX_Glut,Smad9,0,0,0.19230257,0.10253418,0.42858967,0.062411103,0.11709677,0.0024168952,0.09464879
L5_ET_CTX_Glut,Dym,0,0,0.07409345,0.07096048,0.26022872,0.120587446,0.26304972,0.1376194,0.073460795
L5_ET_CTX_Glut,Zswim8,-1,-1,0.06166187,0.11983513,0.101377815,0.10951354,0.124265544,0.33299267,0.15035348
L5_ET_CTX_Glut,Tmem63b,-1,-1,0.06430345,0.11147243,0.07501246,0.13962929,0.20526096,0.30853638,0.09578503
L5_ET_CTX_Glut,Abca3,-1,-1,0.18681642,0.13303019,0.086044826,0.11025111,0.23030376,0.14323246,0.11032125
L5_ET_CTX_Glut,Rbfox3,-1,-1,0.50501573,0.03703732,0.041838683,0.07895214,0.27876815,0.03063433,0.027753634
L5_ET_CTX_Glut,Kifc2,-1,-1,0.036519945,0.06637834,0.037398353,0.074585475,0.050101224,0.6484857,0.08653081
L5_ET_CTX_Glut,Rps16,-1,0,0.07800573,0.14780729,0.13294758,0.1158136,0.117530875,0.28194058,0.12595437
L5_ET_CTX_Glut,Gm26549,-1,-1,0.059658933,0.11597906,0.08289843,0.107820764,0.009806159,0.5240401,0.099796556
L5_ET_CTX_Glut,Pcsk1n,-1,0,0.37990835,0.11306855,0.25039318,0.041783284,0.011058837,0.12161873,0.08216909
L5_ET_CTX_Glut,Wnk2,-1,-1,0.09834565,0.12809806,0.0778329,0.13732071,0.44125086,0.0074207154,0.10973104
L5_ET_CTX_Glut,Fezf2,-1,-1,0.05662412,0.11256345,0.056118015,0.035165597,0.07166541,0.578902,0.08896136
L5_ET_CTX_Glut,Arhgap23,-1,-1,0.32110333,0.097383894,0.088870354,0.09560185,0.27736375,0.018435631,0.10124128
L5_ET_CTX_Glut,Csnk1a1,-1,-1,0.08187898,0.13104258,0.07457501,0.16077588,0.23423502,0.20060074,0.116891816
