gene_name,gene_length.meta,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,rel_pos.DAR,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DMR,18mo.9mo.Q.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.mean.loops,18mo.2mo.Q.std.loops,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.mean.atac,9mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.min.atac,9mo.2mo.log_ratio.mean.atac
Tbc1d13,18267.0,0.1768035555400287,-0.2115041051926764,0.0757389729489303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0234686323267401,0.0130970601546878,0.0103715721720522,0.0382209066763185,-0.0350841030232502,-0.2169865422350502,0.3921456013368345,0.1390757067951717,0.24278698623595,-0.4467507931116574,0.356062249030222
Taf1b,60180.0,0.1437753451446526,0.8797057662796535,0.0014652297841316,0.0,0.0,0.0,0.0017135961818181,0.0009991137272727,14.354564435169522,0.0011436764111703,0.0103092891926782,-0.0013054118248473,0.0116147010175256,-0.0249627510137491,-0.0384125700314256,-0.04435269538752,0.4205675472771899,0.1378353056269293,-0.1483509825026231,-0.3550867336770786,0.1821880010144493
Ranbp10,59042.0,0.0858215457624447,-0.1805722456406893,0.1225224562912301,0.0,0.0,0.0,0.0001999741931034,0.0002943458172413,16.92887564561624,0.0006823493908043,0.0311487448268481,0.0271998246117817,0.0039489202150664,0.0530576896590392,0.0365036036276863,0.0764396648926121,0.7247161365819444,0.2249431074727211,-0.2404918819325534,-0.2595180364837265,0.148503442580109
Bag5,3769.0,0.2415390675389894,0.2630344058321907,0.1453416248137502,0.0,0.0,0.5034763802274563,0.0015600755611111,-0.0008842359222222,17.138671681366148,0.0010126185310141,0.0283180989351358,0.1454028489462684,-0.1170847500111326,-0.0263086157720936,-0.1157238487061071,-0.1093795730979813,0.1913853574483788,0.1147811695209799,0.1515230591265732,-0.2396232561958236,0.2241607426189612
Pcsk5,405313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004471115614243,-0.0002217345356083,16.969035891312533,0.0009448964279825,-0.0116993451570717,-0.0172005181176252,0.0055011729605534,-0.1461145763854722,-0.1038185371411537,-0.2392047041014333,0.0247983817437146,-0.2641278364196586,-0.5179945255740757,-0.8091228693718749,-0.0249231323182253
Ppp2r2a,58388.0,0.175233774769469,0.0,0.0924425937536086,0.0,0.0,0.0,0.0008826367633663,-0.0002805012247524,18.148149754706917,0.0007981699553021,0.0059726397695465,0.0316622526343453,-0.0256896128647988,0.0762239759484466,0.0787083762005049,-0.0575078501668719,0.3946535464191297,0.0475049131588643,-0.169559552112449,-0.4561637049170137,0.1050127633257363
Ilkap,24954.0,0.0341259051347773,0.2801079191909164,0.0029548825837879,0.9990674863576708,0.4521054987087011,0.0,0.0006626200875,-0.0002738691193181,18.097941609401506,0.0007174733315651,0.0615806810178793,0.0533844405540009,0.0081962404638783,0.0370164411631994,0.0245291273523211,-0.062765839985771,0.5706561330749503,0.2721563590978818,0.1676661173880456,-0.2034444424040062,0.3349221990836528
Clcn1,29071.0,-0.4402407171961746,-0.3959286763293175,0.0,0.0,0.0,0.0,3.439818000000002e-05,-0.0001584642571428,19.150885837690996,0.0006275932583509,-0.0048125844485312,-0.0166116500631111,0.0117990656145798,-0.1146916170916097,-0.072070437341339,-0.2206197482470296,0.1084563107814575,0.0294724976350781,-0.0038123800504297,-0.3955405610331879,0.2500922458821079
Timp3,49134.0,0.0842044836192732,0.2515387669948659,0.1478509495382494,0.0,0.0,0.0,0.0007371306892307,7.442760307692306e-05,17.021550042951525,0.0009569125572364,-0.0111941617669011,-0.0055296185956313,-0.0056645431712697,-0.0455739345610404,-0.0103458558691154,0.0984502993286251,0.7567862995157981,0.1931288551625156,-0.1673711632790178,-0.3145389629590495,0.0946785558338905
Idh2,20546.0,0.3295165165275264,0.1069152039157192,0.1253022257750679,0.0,0.0,0.0,0.00074531455,-0.0006730453266666,17.142111944305228,0.0009359198636645,-0.0146017585213258,0.0172597582801814,-0.0318615168015073,-0.060220075153683,-0.0881013809211141,-0.0711256191266647,0.3015876813097662,0.1018652064955522,-0.2083578366012101,-0.4365967045312873,0.172990825622217
