gene_name,gene_length.meta,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,rel_pos.DAR,count.DAR,18mo.2mo.log_ratio.DAR,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DMR,18mo.9mo.log_ratio.DMR,18mo.2mo.T.min.loops,18mo.9mo.Q.median.loops,18mo.9mo.Q.max.loops,Qanova.max.loops,9mo.2mo.Q.mean.loops,loop_size.log.mean.loops,min_distance.log.max.loops,18mo.2mo.T.std.loops,loop_size.log.median.loops,9mo.2mo.Q.median.loops,18mo.2mo.T.max.loops,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mean.atac,log2_distance.min.atac,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.std.atac,count.atac,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.mean.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.std.atac
Fzr1,12294.0,0.0437835978990903,0.0517571579812267,2.0,0.0314039026730319,0.0727880981973214,0.0767965451522938,0.0,0,0.0,0.0,0.0,0.0,-0.006252685,0.00085157,0.002530144,8.751371,0.0014905694133333,16.360447607039962,13.945626722229823,0.0302336515335024,16.432476654021386,0.0015101374999999,0.0900235499999999,0.0832275394809454,0.0476603537126849,0.0355671857682604,-0.0443639216102845,-0.0224708081455307,-0.0668347297558152,-0.1251836812467761,8.16490692667619,0.2621214688052822,0.4255502723141916,-0.2879417384059765,0.2721376858133744,6,1.4138166717017764,-0.0174549289253575,0.2554285070905635,0.1077287523214186,9.93353332833374,-0.0722371070080165,0.1555148938644542
Rab43,23311.0,0.0683102248202085,0.0683102248202085,1.0,-0.0667726570653576,0.1178723135092143,0.1401674717004332,0.0,0,0.0,0.0,0.0,0.0,-0.01900772,-8.71477999999995e-05,0.0005655665999999,5.656597,0.0010380413499999,15.968003725552188,14.49853760259935,0.0260220332851207,16.02710446844072,0.0010257676999999,0.05051913,0.0742826810098066,0.0263617523243291,0.0479209286854775,-0.0875418937484463,-0.0415746604026878,-0.1291165541511342,-0.1603054747293983,10.987974524296224,0.5643910377872745,0.2841483575924127,-0.2773724966141091,0.3918667556177285,5,0.2950451562942973,0.0889656586668259,0.2255198379310948,0.2492711333962242,11.340719231056283,0.0608332154267987,0.21573061826356
Zfp706,10746.0,-0.0711729077380369,-0.0711729077380369,1.0,-0.0527506189474762,0.0514897497188564,0.093798816532493,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0872043584132492,0.0594207836587445,0.0277835747545046,-0.1670720139654656,0.1414395906591828,-0.0256324233062828,0.0184882939432899,10.684748620421711,-0.0216024326849915,0.0183097392402498,-0.0627125450270704,0.0842848744645906,2,0.2950240767225165,-0.0222014028934103,0.0572914066326462,-0.0406896968367003,10.893362145685504,-0.0597769609884091,0.0269934678319443
Nedd4,87506.0,0.0,0.0,0.0,0.0,-0.0137505346232496,0.0294312531071928,0.0,0,0.0,0.0,0.1324502959993123,-0.3765633514060626,0.02506444,0.0020297155,0.003043324,6.0532613,6.847844285714298e-05,14.909046636345648,15.275178781143197,0.0129571458240841,14.905575039562663,-0.0001074219999999,0.0607256599999999,0.0178055024176427,0.0122405636371431,0.0055649387804995,-0.0608309461884851,-0.0624255881893994,-0.1232565343778845,-0.0262692809116929,10.159871336778515,0.4951208838704164,0.802038072105141,-0.1756018187628725,0.1665389148066429,16,1.9622385038288117,0.064682742921033,0.2234865350962689,0.090952023832726,13.321930304615604,-0.1299247961579865,0.1681351281000682
Gramd1a,25769.0,-0.318598380340701,-0.1174136356608432,3.0,0.0309703339150806,0.1083514492038544,0.1344946949794999,0.0,0,0.0,0.0,0.3584539708310935,-0.2630344057857039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0115443534055806,0.0047205113072738,0.0068238420983067,0.0374275062301208,0.0466800898254851,0.084107596055606,0.0253149636338225,10.16364967601595,0.4569442000529135,0.1802970073169514,-0.1555642538443975,0.2041319685362463,7,1.2984772301447385,0.0772194128707507,0.1185117663214239,0.0519044492369282,12.045612692556372,-0.2393801211838648,0.2264590534549152
Nasp,26889.0,-0.312780617109307,-0.1314528890038919,4.0,-0.0942304005454298,0.0369947961746346,0.1427390552082398,0.0,0,0.0,0.0,0.0,0.0,0.0538427499999999,0.001160286,0.0012314133,4.332474,0.0009329107999999,15.862015947775957,14.283450139278848,0.0370050061229968,15.875509394158406,0.0009472804,0.1243711999999999,-0.0097405309990308,-0.0145447550256007,0.0048042240265698,-0.0663255057691597,0.0907055078990878,0.024380002129928,0.0193419657514904,11.064742764750322,0.1089036607189526,0.1200644914471644,-0.0804301277025461,0.0081457357737878,3,0.3317012834471683,0.0450709298444362,0.109374487138985,0.0257289640929457,11.38764174686102,-0.1078819623470765,0.116862575491133
BC005537,14540.0,-0.1796733835275177,-3.442686081059354e-06,4.0,-0.0014435991623356,-0.0343208728869175,0.0727435059765671,0.0,0,0.0,0.0,0.5025003404407831,0.1101829177335849,0.022328474,0.0002009147,0.001621798,8.36093,0.0001742514157894,17.57454407055069,14.262755537678787,0.0278225900366797,18.194602975157967,0.0001997264,0.1232610399999999,0.1432799748052153,0.130506064710087,0.0127739100951282,-0.0960816438188064,0.1562840426330439,0.0602023988142374,-0.0655857208325205,7.577428828036504,0.2489099717260914,0.0405374551836971,-0.2294591646978152,0.1135006932197587,4,1.4615992414479495,-0.0535681656136109,0.1231033577597231,0.0120175552189095,9.026058273417783,-0.1300907897541274,0.164202985489154
Pigx,15324.0,-0.163324996347923,0.0746190893441236,3.0,0.0027833523151574,0.0619902316818175,0.0058063224226933,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0747306790109218,0.05690997043098,0.0178207085799417,0.066032177177397,-0.1698952094656005,-0.1038630322882034,-0.0758685788038838,10.69609817095595,0.29618898410672,0.1600162146606827,0.0520932737122024,0.0538895584345359,3,0.3902720490689684,0.1228834156378482,0.0613306843610958,0.198751994441732,11.09340299718651,0.0845192360797417,0.1068297427781398
Fbxo32,39053.0,-0.106849672382702,0.0533776018771167,0.0,0.0,-0.0322624317740327,0.0388059973781432,0.0,0,0.0,0.0,0.0,0.0,-0.05988362,9.432750000000012e-06,0.0022602183999999,5.787935,-0.0001016053899999,17.7892406616002,14.71488943423155,0.0300221220264783,19.26949020433933,-8.237199999999983e-05,0.050760484,0.0033018250914915,0.0370797439048404,-0.0337779188133488,-0.0589115722762174,0.0059007229309033,-0.053010849345314,-0.063571357371792,10.617467465294288,0.0738225884345187,0.1531120275347059,-0.8786200807320228,0.285268956292925,7,1.4528174608411513,-0.1592758580057114,0.360189134633076,-0.0957045006339194,12.950345934891624,-0.3920376464131974,0.1745968220276381
Snapc3,49952.0,0.0,0.0,0.0,0.0,-0.0362315467612601,0.0897009008734674,0.4441725978647687,1,0.3095339925078866,0.0684113566744399,0.3852901558157853,1.2451124975276209,0.01812127,0.00056992505,0.0022496204,9.221861,0.0007529822187499,17.01840166424623,13.940680648424092,0.0255088625728782,17.049599983678373,0.0006703920999999,0.10710596,0.0074658243337141,0.0182249414987116,-0.0107591171649974,-0.2040232086255652,0.2404596513236619,0.0364364426980967,-0.1109801612181605,10.184875342908407,0.3233643401483025,0.3095339925078866,-0.2536043307552512,0.2626162350516642,7,1.8694277497893577,0.00554662921135,0.191832197334943,0.1165267904295106,11.826993295436756,-0.060837187514994,0.1160139521662526
