gene_name,gene_length.meta,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.contact.log_ratio.min.20kb-5Mb.enhancer_peak,9mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,rel_pos.DAR,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DMR,18mo.9mo.Q.mean.loops,9mo.2mo.Q.mean.loops,loop_size.log.mean.loops,18mo.2mo.Q.std.loops,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mean.atac,18mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.mean.atac,9mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.min.atac,9mo.2mo.log_ratio.mean.atac,DEG,pred
Mest,0.1860015822481364,-0.016558374501764773,-0.025586078152991833,-0.016837985990568995,0.007553808060474693,0.0008519130572676659,0.00035324652679264546,0.07132509039482102,0.05464653944596648,-0.006144158593378961,0.020239222883246838,0.05691197892650962,0.07823501637671143,0.11222014060709626,-0.0629183883802034,0.09253355085849763,0.004262948129326105,0.02433836678043008,0.019108896246179938,-0.0034198129549622537,-0.13849131163675338,0.025740701453760267,1.0,1.0
Tfg,0.26476936753839253,0.14146468648687005,-0.00046297015622258185,-0.015159359388053417,-0.0002475722972303629,0.0005636882781982422,-0.0026270538102835415,-0.02232404863461852,-0.10471148882992566,0.06812079295050352,0.04862771184183657,0.029425328355282544,-0.09455849091522396,0.08661167582962662,0.05412698154104874,0.052073772656731306,-0.010328101515769959,-0.0006457583885639906,-0.05700855421833694,0.020402907216921447,0.05408741569146514,-0.02538458692841232,1.0,1.0
Hsbp1,0.04117691355291754,-0.05240259737009183,-0.01536273943260312,-0.01697551615536213,0.001484895977191627,0.00046761334873735906,0.0013485359167680145,0.051380271343514326,-0.003608847502619028,0.10082566511817276,0.030800303546711802,0.004406130742281676,0.09120444433763623,-0.008230349185760133,0.1109811438061297,0.05048088101902977,-0.005733885718509555,0.006711102444678545,-0.03866588965523988,0.002325881076976657,0.07104119369760156,-0.0013346389122307302,1.0,0.0
Sprtn,0.22059964888729156,-0.027538550891913472,0.012539284434169531,0.016904758727177976,-0.005102551863528788,0.000755838118493557,0.0010542835621163249,0.025442949004936963,0.08402087099850178,-0.013086534258909523,-0.01664953526575118,-0.1511976814456284,0.042025303998962045,0.04037462633568793,-0.01828771362779662,-0.009034186622593553,0.020554018933326007,0.006867308169603348,0.07850440165027976,0.03043460166081786,0.07740993106737733,0.03081973744556308,1.0,1.0
Nle1,0.20052180239465087,-0.07763819846790283,0.028288285592570902,-0.0334835090721026,-0.005807773941196501,0.0007174081448465586,0.0004546804027631879,0.012651542923413217,-0.10706633490510285,0.041183877759613095,0.030657525896094738,-0.09422292217612266,0.0864628162421286,-0.02725996094988659,0.09255701251560822,-0.023612907708156855,0.01632617451250553,0.004997684042900801,0.055453680409118536,0.013958709659054875,0.06590876888483763,0.029338080957531928,1.0,1.0
Unkl,0.10486273100599647,-0.041035741013474764,-0.012749159107916058,-0.023716821810230614,0.010897438582032919,-0.0003970609977841377,0.0004201019601896405,-0.04166843730257824,-0.16012117804959417,-0.005614370075054467,-0.05726406087633222,-0.009956767112016677,0.083126918124035,0.07205543371324893,0.04816933350404724,0.092948866894003,-0.022890861835330723,-0.07167851017788053,0.014304371825419366,0.0032731630466878415,-0.047651317724958064,0.025601242622360586,1.0,2.0
Ints4,0.12703493669163435,-0.019068162171170116,-0.025306822839193045,-0.017808066727593542,0.01408434446901083,0.0008519130572676659,-0.00030835728161036967,0.04423430843977258,0.08520824740640819,-0.005015500183217228,-0.016709390059113503,0.002220718301832676,-0.05662096483167261,0.06390065120242071,-0.02050986421993002,0.0666168508073315,0.004262948129326105,0.014270882792770863,-0.0028674576431512834,0.007045928984880447,-0.17279403139837085,0.032310047335922715,1.0,2.0
Prr3,0.03841869089752436,-0.08508343876339496,0.0006326573947444558,-0.03788324165623635,0.006844682958908379,0.0008519130572676659,-0.004130859095603227,0.06920043036574498,0.08540929812937975,-0.013492946256883442,0.014184900030959397,0.03987033635377884,-0.271081273118034,-0.007361172665841877,-0.058518639318645004,0.0399695532140322,0.0037269342970103025,0.007392828650772572,-0.045600970033556225,0.00435252221301198,0.05644883526489139,0.02326431602239609,1.0,0.0
Slc35f3,-0.2895905068423599,-0.012303891452029347,-0.021938650985248387,-0.07781377164181322,-0.06790986965410412,0.0005636882781982422,-0.004056679508648813,-0.06262952601537108,-0.011630458943545818,-0.005471006594598293,-0.02402378822211176,0.026420519780367614,-0.08635519695468247,-0.025965228538261727,-0.14692602671217173,-0.10740155930863693,-0.015872038677334787,-0.022797027276828884,0.008260336900129915,0.021775615829974414,-0.04717006956692785,0.019859752263873817,1.0,0.0
Zfp955b,0.2889715766871814,-0.012255964544601738,-0.0062423366028815505,-0.020614907778799534,0.00329813536722213,0.0005636882781982422,0.0011054058745503426,-0.023387075643986465,0.10556006435304881,-0.005594747783616186,0.03338590573519468,-0.0009581678919494152,0.09752262312802486,0.06824441844306421,0.18953816758934408,0.14506453453563153,-0.006838993988931179,0.017778917644172908,0.01449926033616066,0.008445403627119959,-0.007616758455988019,-0.019775212528184056,1.0,1.0
Ankrd45,0.19836096915882082,0.13405736367218196,-0.04090651072561741,0.017425206935731696,-0.0015714051388204097,0.0005636882781982422,0.000590323694050312,0.17039811899885535,-0.06614617383107543,-0.005992102390155196,-0.056988341556862,0.025314826825633643,0.07341225148178637,-0.007232733062119223,-0.17571796896867453,-0.018716619729530065,-0.005061361212283373,0.009348489926196635,-0.014368726829998195,-0.004075939999893308,0.05747644721530378,-0.059432318424806,1.0,1.0
