gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.log_ratio.DMR,9mo.2mo.log_ratio.DMR,18mo.9mo.Q.median.loops,18mo.9mo.Q.mean.loops,18mo.2mo.T.mean.loops,18mo.9mo.Q.std.loops,18mo.2mo.T.median.loops,loop_size.log.mean.loops,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.min.atac,18mo.2mo.log_ratio.mean.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.mean.atac,DEG,pred
Smad7,-0.1584165753889829,-0.033138717487454415,0.029486355548724533,0.09404649962671101,-0.03203877948224545,0.07795603903010488,0.08749853741843254,0.1378769801184535,-0.018089152742177247,-0.07172806106740609,-0.032136273923097175,0.005340416224207729,-0.0339470911026001,-0.026981085054576397,-0.0005676686763763428,-0.04654803747311234,0.055510924882255494,-0.08125967382919043,-0.16475785059155895,-0.048601397320162505,-0.04848332232097164,-0.1373216530494392,0.0006235558539628983,-0.028920647967606784,-0.018362622880376874,-0.024011292420327665,0.0005264033004641533,-0.08791946559213101,0.14944834172725677,1.0,1.0
Akt1s1,-0.1341624023485929,-0.032075322933960704,-0.038310009986162186,-0.026571782194077968,-0.022986719850450754,-0.02141318258829415,-0.024572836877778174,-0.09628360499627889,0.6813542777718976,0.23059111640788615,-0.039216445107012984,-0.011432770863175392,-0.02924922656733543,-0.011123794866725802,-0.01256698153913021,-0.03573295173235238,0.19554963808506728,0.6812619516009,0.09435103294439613,0.011252641624887474,-0.01934522843454033,-0.040946989674121144,0.00554328452795744,0.03194204945117235,-0.010171825466677546,-0.03524975823704153,0.014349482001271098,-0.1331179248355329,0.06725920425262302,1.0,2.0
Usp35,-0.15190749587956817,-0.004526996084023267,0.013918517425190657,-0.025182974357157946,-0.05280202591791749,-0.0345842871372588,-0.059277652681339534,-0.09105906618759035,-0.030058028327766807,-0.054583627125248314,-0.03352552933502011,0.03857429541414604,-0.0339470911026001,-0.06852454975247384,-0.016298966445028783,-0.0033105457667261364,-0.04052385184448212,0.020772922112373634,-0.0772377050074283,-0.08921179558965378,-0.04927732020849362,-0.09115211432799697,0.002420007884502411,-0.018700526999309658,-0.021522856233641505,-0.038600146137177944,-0.020831961610820144,-0.14219041336327792,-0.0657338797301054,1.0,2.0
Abcc1,0.12332439798745326,0.04089940671809018,0.13901055180002003,0.025872496906667947,-0.027560663553886117,0.08397545047337189,0.08993527329526842,0.0753175875915622,-0.010703309560194612,-0.033774233469739554,-0.11425259061157704,-0.06487663018517197,0.030714476481080055,0.002568656085059047,0.030326367453671992,0.03255893195047974,-0.04391076638828963,-0.06859182282816619,0.07861361981369555,0.06325046873651445,-0.013344981762347743,0.3645104378275573,0.004576130900532007,-0.03634449861012399,-0.055678436453454196,-0.007533738166093826,-0.0032284448435530065,-0.08149908387102187,-0.6118635418917984,1.0,2.0
Gt(ROSA)26Sor,-0.17366570196463726,-0.05991462271194905,0.008127350402064621,0.026113174555357544,-0.05708891609683633,-0.03733309484086931,0.01021584807895124,0.09101865873672069,-0.02011026826687157,-0.03829106163349934,-0.09316752258688211,0.052651709532365205,0.061494745314121246,-0.10407813510857522,0.03239377952646464,-0.03769542339257896,0.15524478734005243,0.9577199523942546,0.025751826677005738,-0.24587072079535574,-0.011730618053115904,-0.0607022094540298,0.016912924963980912,-0.005927334269508719,0.013182677603326738,-0.016660446915775538,0.015746892783790826,0.1701817224919796,0.24052850320935248,1.0,2.0
Galc,-0.017743067466653883,-0.01108435015194118,0.03170961298514158,-0.02511507918126881,-0.0047913566883653405,0.0777174786478281,0.07729091084562242,-0.09586445194669067,-0.017753195539116858,-0.05926849414594471,0.15273589784279465,-0.06814300828147679,0.012704618996940554,0.02856370519846678,-0.017850465280935167,0.1720761867472902,-0.15925576049368828,-0.09666645953431725,0.06943062074598856,0.03186360496561974,-0.06493566167075188,-0.0628733897767961,0.43874442236497996,-0.027316790213808416,-0.019075758028775452,-0.04074046437628567,-0.027962212581187487,0.09937192987650632,0.11816550956107676,1.0,1.0
Slc35b1,-0.2561218643584289,-0.04078795869834721,-0.05642849001567811,-0.13829482672153973,-0.06761989606078714,-0.020388965383172034,0.09264948166906833,-0.1286551906913519,-0.015948031302541493,-0.03802252396941185,0.1473726018331945,-0.0033236491819843648,0.05076408136170357,-0.00502253694459796,0.024061153191141785,-0.02264665162190795,0.21727032091002912,0.5248235233314336,-0.029352588006295265,0.03368616833118722,-0.018321562570054083,0.08446846501901746,0.00542613735422492,-0.0023265548795461653,0.016722936704754828,-0.03757468096911907,-0.018031173618510365,-0.13530085428617894,0.06331215418875218,1.0,1.0
Oprl1,0.1375756088248454,-0.009854578194208444,-0.0668423697212711,-0.026293121064081788,-0.04453623158857226,-0.012951345266774297,-0.029585156929679213,-0.08029554937034845,-0.015418991837650537,-0.05699835216160864,-0.1325157479289919,-0.020069876671768724,-0.022018230161629616,0.13833099354058503,-0.016888570375740528,0.0320084739336744,-0.02107660046312958,0.009297385849931743,0.009441930153407156,-0.014512867990415543,-0.0337809114868287,-0.0375698552839458,0.012512892372906209,-0.00722702553961426,-0.05073976340703666,-0.02185978220542893,-0.011924322673585265,-0.08833986659534275,-0.30008762357290836,1.0,1.0
Fads6,-0.13560535523167347,-0.01700191341806203,0.13406472791684793,-0.08385021520778536,-0.034137252643704416,0.09396268216194585,0.04407803574227728,-0.12959950390271843,-0.010734404036775232,-0.0625616183457896,0.4122839989932254,0.04378769864328205,0.016423639659769833,0.05892525557428598,0.02187344403238967,0.007503221873193979,0.1172016037814319,0.02339303631335497,0.05709066040813923,0.049338011664804074,-0.05702858782489784,-0.0993782414123416,-0.08926765577867628,-0.02042414002586156,-0.02809844586066902,-0.05075892012566328,-0.01907572254538536,0.09980281960219145,0.01730233442503959,1.0,1.0
Wdsub1,-0.24476787962950766,-0.03832084053196013,-0.02654440248850733,0.11791360821574927,-0.023869655523449183,0.08920765379443765,0.05101653791964054,0.15061111196875573,-0.004963295739144087,-0.026405180753208697,0.135435328327585,-0.06999685420189053,-0.02564200443215668,0.0073261805064976215,-0.015540806213393807,0.04877283134963364,0.030145870381966235,0.015463144253008067,-0.006511644708225504,0.1205516437254846,-0.013984453016892075,0.10965163513086736,-0.04265131451189518,0.21138365385122598,-0.00867046917323023,0.11634820724837482,0.07638446129858494,0.09405851169489324,0.3287017331365496,1.0,1.0
