gene_name,gene_length.meta,18mo.2mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.count.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.mean.5kb-20kb.enhancer_DMR,9mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.2mo.activity.log_ratio.std.20kb-5Mb.enhancer_peak,rel_pos.DAR,count.DAR,18mo.2mo.log_ratio.DAR,9mo.2mo.log_ratio.DAR,18mo.2mo.log_ratio.DMR,18mo.9mo.log_ratio.DMR,18mo.2mo.T.min.loops,18mo.9mo.Q.median.loops,18mo.9mo.Q.max.loops,Qanova.max.loops,9mo.2mo.Q.mean.loops,loop_size.log.mean.loops,min_distance.log.max.loops,18mo.2mo.T.std.loops,loop_size.log.median.loops,9mo.2mo.Q.median.loops,18mo.2mo.T.max.loops,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mean.atac,log2_distance.min.atac,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.min.atac,18mo.9mo.log_ratio.std.atac,count.atac,log2_distance.std.atac,18mo.2mo.log_ratio.mean.atac,18mo.2mo.log_ratio.std.atac,9mo.2mo.log_ratio.mean.atac,log2_distance.mean.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.std.atac,DEG,pred
Ube2m,-0.9304775408655405,0.0,0.0,0.0,0.0,-0.0406879948079586,-0.16590598184615374,0.0,0.0,-0.0011831465363502502,0.011350188571959734,0.0,0.0,0.0,-0.0006179708242416382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016949167847633362,0.0,-0.09247433587908745,-0.07784644581377506,0.0,0.0,0.014265507496893405,0.02964774701744318,0.05105771173723042,0.0,-0.09102131590247155,-0.1007858418673277,0.0327676547691226,-0.0007478687167167664,0.0,0.0,-0.034134315811097625,-0.01126131385564804,-0.027500171735882758,0.0,0.018787645436823368,0.01136684514582157,1.0,0.0
Fbrs,-0.9036115996912122,0.0,0.0,0.0,0.0,-0.03819355554878712,-0.16191734094172716,0.0,0.0,-0.0011831465363502502,0.014116635136306286,0.0,0.0,0.0,-0.0006179708242416382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016949167847633362,0.0,-0.11129058032296597,-0.07784644581377506,0.0,0.0,0.016315239556133745,0.02964774701744318,0.05105771173723042,0.0,-0.061874385997653006,-0.06935999259352683,0.0327676547691226,0.0026923272013664244,0.0,0.0,0.03242455366998911,0.0920778015255928,0.009460523873567581,0.0,0.35079624589532615,0.01136684514582157,1.0,1.0
Rps19,-0.836855707988143,0.0,0.0,0.0,0.0,-0.0406879948079586,-0.16590598184615374,0.0,0.0,-0.003253652974963188,0.009330766294151544,0.0,0.0,0.0,0.022392135038971903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016384197026491167,0.0,-0.11777496174909174,-0.07784644581377506,0.0,0.0,0.016315239556133745,-0.02038341037929058,-0.04007997000589967,0.0,-0.04937524102628231,-0.1007858418673277,0.026766908299177886,-0.0007478687167167664,0.0,0.0,-0.034134315811097625,-0.01126131385564804,0.009460523873567581,0.0,0.016138458813074977,0.01136684514582157,1.0,0.0
Scamp5,-0.6619425103999674,0.0,0.0,0.0,0.0,-0.0406879948079586,-0.1965871674567461,0.0,0.0,-0.006063625998795032,0.011989173404872417,0.0,0.0,0.0,-0.0020150044932961465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031073475629091263,0.0,-0.10657580887898803,-0.07784644581377506,0.0,0.0,-0.05354685937985778,-0.040818698853254315,-0.1482781389541924,0.0,0.06703756589442492,-0.06812600918114185,0.0256746743619442,-0.0005609015002846718,0.0,0.0,0.03242455366998911,-0.005299441814422608,0.006898358352482319,0.0,0.11144036480225622,0.01136684514582157,1.0,1.0
Sec14l1,-0.8830886854231358,0.0,0.0,0.0,0.0,-0.0406879948079586,-0.16590598184615374,0.0,0.0,-0.006063625998795032,0.013667914047837258,0.0,0.0,0.0,-0.0020150044932961465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031073475629091263,0.0,-0.12463875073008239,-0.07784644581377506,0.0,0.0,0.016315239556133745,0.0002768323663622141,-0.1082266263384372,0.0,0.06703756589442492,-0.06812600918114185,0.026766908299177886,-0.0005609015002846718,0.0,0.0,0.03242455366998911,-0.005299441814422608,0.009460523873567581,0.0,0.016138458813074977,0.01136684514582157,1.0,1.0
Pus10,0.37495900116860864,0.0,0.0,0.0,0.0,-0.011700832769274711,-0.15913718428462745,0.0,0.0,-0.01833877131342888,-0.06506636479869485,0.0,0.0,0.0,-0.013917541801929475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011299446225166321,0.0,-0.1940440774243325,-0.07784644581377506,0.0,0.0,-0.1155356702581048,-0.05444713369011879,-0.14304343512281775,0.0,-0.058132313936948773,-0.0472595885861665,-0.11131743904203177,-0.0006730818003416061,0.0,0.0,-0.06369900465011596,-0.01126131385564804,-0.052412560731172564,0.0,0.04058973688166589,0.023169124722480772,1.0,0.0
Bud13,-0.9791198975220322,0.0,0.0,0.0,0.0,-0.0406879948079586,-0.16590598184615374,0.0,0.0,-0.0011831465363502502,0.014116635136306286,0.0,0.0,0.0,-0.0006179708242416382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016949167847633362,0.0,-0.11129058032296597,-0.07784644581377506,0.0,0.0,0.016315239556133745,0.02964774701744318,0.05105771173723042,0.0,-0.061874385997653006,-0.06935999259352683,0.0327676547691226,0.0026923272013664244,0.0,0.0,0.03242455366998911,0.0920778015255928,0.009460523873567581,0.0,0.12571613069623708,0.01136684514582157,1.0,1.0
Daglb,-1.036792085841298,0.0,0.0,0.0,0.0,-0.0406879948079586,-0.11567308453842998,0.0,0.0,-0.0011831465363502502,0.015668300688266756,0.0,0.0,0.0,-0.0006179708242416382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008757070153951645,0.0,0.06816906705498696,0.23677836537361144,0.0,0.0,-0.06301057307049632,-0.014448975725099445,0.06071681210771203,0.0,0.1076379482448101,-0.06437954299151898,0.040051058940589426,-0.000934835895895958,0.0,0.0,0.03242455366998911,-0.005299441814422608,0.006898358352482319,0.0,0.014432068853639067,0.01319917567074299,1.0,1.0
Arntl2,-0.9367120498418808,0.0,0.0,0.0,0.0,-0.0406879948079586,-0.1965871674567461,0.0,0.0,-0.0011831465363502502,0.013273003213107586,0.0,0.0,0.0,-0.0006179708242416382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016949167847633362,0.0,-0.10628821905702353,-0.07784644581377506,0.0,0.0,0.016315239556133745,-0.02038341037929058,0.05105771173723042,0.0,-0.09102131590247155,-0.06812600918114185,0.028373580668121578,-0.0005609015002846718,0.0,0.0,0.03242455366998911,-0.01126131385564804,0.009460523873567581,0.0,0.018787645436823368,0.01136684514582157,1.0,1.0
Zcchc14,-0.5675708096474409,0.0,0.0,0.0,0.0,-0.0406879948079586,-0.16590598184615374,0.0,0.0,0.009021492339670659,0.011648491881787777,0.0,0.0,0.0,-0.00047007746994495394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008757070153951645,0.0,-0.12736445809714497,-0.07784644581377506,0.0,0.0,0.028150972500443457,-0.02038341037929058,0.045374796474352476,0.0,0.1076379482448101,0.06913538835942745,0.023792754355818034,-0.0005609015002846718,0.0,0.0,0.03242455366998911,-0.005299441814422608,0.009460523873567581,0.0,0.03722525093937293,-0.05171430412679911,1.0,0.0
