gene_name,gene_length.meta,18mo.9mo.activity.log_ratio.min.5kb-20kb.enhancer_DMR,18mo.2mo.activity.log_ratio.max.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.count.0-5kb.enhancer_peak,9mo.2mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.min.20kb-5Mb.enhancer_peak,18mo.9mo.activity.log_ratio.mean.20kb-5Mb.enhancer_peak,18mo.9mo.contact.log_ratio.count.0-5kb.enhancer_peak,18mo.2mo.log_ratio.DMR,9mo.2mo.log_ratio.DMR,18mo.9mo.Q.median.loops,18mo.9mo.Q.mean.loops,18mo.2mo.T.mean.loops,18mo.9mo.Q.std.loops,18mo.2mo.T.median.loops,loop_size.log.mean.loops,18mo.2mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mcg_genebody,18mo.9mo.log_ratio.mcg_genebody,9mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mch_genebody,18mo.2mo.log_ratio.mch_genebody,18mo.9mo.log_ratio.mean.atac,9mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.max.atac,18mo.2mo.log_ratio.min.atac,18mo.2mo.log_ratio.mean.atac,9mo.2mo.log_ratio.min.atac,9mo.2mo.log_ratio.mean.atac
Dusp4,12597.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.281770968365191,0.2937312030138458,0.0006329714999999,0.0005665432619565,0.0823564983695652,0.0015257759187999,0.0791523849999999,18.32263436200345,0.0878892616246795,0.1010720410749882,-0.0131827794503086,0.1378299570069706,-0.0508288854075716,0.0870010715993989,0.0409695076603758,0.3179061854830847,0.2233999080682996,-0.4168831506781036,-0.1506743753302191,-0.4692398066872187,-0.1916438829905949
Gm20721,16393.0,0.0,0.3554097537803695,2.0,0.2089180999088244,-0.0682423336599669,-0.0034350146268753,2.0,0.0565835283552698,-0.7858751944382106,0.00143571695,0.0015276036238095,0.1558644725904761,0.0009173004679609,0.158501605,17.064052813436643,-0.0321372083119412,-0.0874120171046062,0.055274808792665,-0.1173830507650253,0.1028564187951088,-0.0145266319699164,-0.0221188868820709,0.2131599524856584,0.3039968276482536,-0.2580913635743735,0.0210578590337733,-0.3517700406748432,0.0431767459158442
Slc23a2,92612.0,0.0,0.022879364770497,0.0,-0.0407307503781484,0.0,0.0,0.0,0.4288432986611901,0.9999999997225588,0.00018421375,0.0004430696921052,0.1167483623236842,0.001923154226811,0.113853122,16.64112787560224,0.0318310791028417,0.0412696388105892,-0.0094385597077474,0.190254228929553,-0.0745938442061084,0.1156603847234445,-0.0499319134569284,0.6803487337615117,0.6679305129962034,-0.1698404932652961,0.0812778249626557,-0.3582148473926161,0.1312097384195842
A930029G22Rik,22644.0,0.0,-0.2929146183263604,1.0,0.0,-0.1431561008260318,-0.1431561008260318,1.0,0.0,0.0,-0.0001006858999999,-0.0001006858999999,0.040713615,0.0001387315220416,0.040713615,19.85504915187331,0.0196118230261763,0.0671542937965803,-0.0475424707704039,0.0166986364808437,-0.0253603548609089,-0.0086617183800651,-0.1528792253071726,0.9395410732095606,0.4690608145328997,-0.2657528331416339,0.1197283856381822,-0.1481462678177889,0.2726076109453549
Btbd2,14454.0,-0.0989151445133412,-0.0641410705328913,0.0,0.0747109298778878,-0.2189419622828445,-0.1695114671096571,0.0,0.0,0.0,-0.000815904,-0.0008632815,-0.10807632,0.0008363892449613,-0.10284672,15.7694309729507,-0.0113327432761711,-0.0207408094048403,0.0094080661286691,-0.012888127643492,0.0611239441830846,0.0482358165395926,-4.267805605852525e-05,0.7404697262168632,0.6377626201161913,-0.1772956921240798,0.3419107317685022,-0.0389573857893994,0.3419534098245607
Bptf,99046.0,0.0,-0.1295766230547523,0.0,0.0567246127309544,-0.1863012357857068,-0.1863012357857068,0.0,-0.2223924213119123,-0.3858911535741817,0.0,0.0,0.0,0.0,0.0,0.0,0.0215921879825053,0.0157486171659261,0.0058435708165791,0.0337013087317451,-0.0466733697358681,-0.0129720610041229,0.0374086423852722,1.1890756485928955,0.7979108770668562,-0.2690363437648939,0.3075287361189062,-0.5022775882831565,0.2701200937336339
Cmc2,32770.0,0.0513463803517633,0.1583155961922187,0.0,-0.1848320502324617,-0.0731182222685538,-0.0539600434643171,0.0,0.0,0.0,0.0001369022999999,0.0003468221294117,0.0556873432941176,0.0009422468011745,0.0408241159999999,18.76366607506986,0.0055237591858226,0.008574907708731,-0.0030511485229083,0.014161039714003,-0.0052480075463043,0.0089130321676986,-0.0451098199636839,-0.0108985600378634,-0.100721760375505,-0.2069523812617464,-0.1612988775530979,-0.1988531222058336,-0.1161890575894139
Oaz1,2634.0,-0.1349294342291379,0.2575908200665253,2.0,0.0210251041540472,-0.0969141438016079,-0.0393996152245546,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085184740054018,0.0851220419613147,6.269809270320614e-05,0.0019347513579549,0.0325624812064712,0.0344972325644261,0.0002241056748764,-0.1442923786824503,-0.11692924677026,-0.2004997881554242,-0.1587145174628421,-0.1735848675929867,-0.1589386231377185
Tmem109,11341.0,-0.0442511044185373,0.056200509558089,0.0,-0.0208823000623126,-0.0733417817891095,0.0647952584590816,0.0,0.0,0.0,0.0008151009999999,0.0006864907999999,0.0552093973333333,0.002791107140815,0.047123245,17.048711472729813,0.0165624700884359,0.0268867699424614,-0.0103242998540254,-0.1245809979657033,0.0498940246804506,-0.0746869732852526,-0.0177034255297393,0.4866010994093256,0.4732760365389624,-0.0471144628602353,0.235057655730421,0.1040303275047775,0.2527610812601604
4430402I18Rik,74758.0,0.0,0.0,0.0,0.0,-0.0550450337115049,-0.0550450337115049,0.0,0.0,0.0,0.0003482095,0.0004435781407407,0.057728236632037,0.0011441460368314,0.0636039955,17.657528031555938,0.0165004809094692,0.0553460543968714,-0.0388455734874022,0.0484936783673499,-0.0449251440011445,0.0035685343662054,0.0342438549159785,0.8155083169885784,0.5004737671159871,-0.3521945183325474,0.0325701382486689,-0.514907557568304,-0.0016737166673096
