,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DEG
Bach1,0.151245562889197,0.672825806552003,0.041,0.027,1.0,0
Surf6,0.151330938765724,0.617220045109467,0.026,0.017,1.0,0
Arhgap15,0.151449556827872,-0.257634089232564,0.157,0.175,1.0,0
Oard1,0.1514918125688,0.863941795807656,0.016,0.009,1.0,0
Pcgf3,0.151829380690027,0.362178430029203,0.126,0.097,1.0,0
Elovl2,0.151935894805946,0.61980320612347,0.031,0.019,1.0,0
Hspe1,0.152014899397995,0.340379839750643,0.033,0.027,1.0,0
Phlda1,0.152145622116678,1.14773476180825,0.011,0.005,1.0,0
Cdh13,0.152529461217639,0.123093256004616,0.558,0.533,1.0,0
Caprin2,0.153217791786243,0.41319590503658,0.082,0.06,1.0,0
Tmem9,0.154039143054681,0.365326196880873,0.035,0.027,1.0,0
Znrd1,0.15414745547864,0.662307934638005,0.036,0.023,1.0,0
Tmem169,0.154373939535121,0.224085647938361,0.069,0.058,1.0,0
Txndc9,0.154374515263172,0.338418323417356,0.075,0.057,1.0,0
Myl12a,0.154719880987254,0.839612466445915,0.015,0.008,1.0,0
Zc4h2,0.154966466398521,0.526246385061976,0.028,0.019,1.0,0
Adat1,0.155179798133819,0.37280131744302,0.065,0.051,1.0,0
Gyg,0.155311955321749,0.348432112045375,0.055,0.043,1.0,0
Tmem248,0.155345010763191,0.3447716088678,0.1,0.079,1.0,0
Srrd,0.155390631624307,0.688303143170949,0.023,0.014,1.0,0
Wdyhv1,0.155445888635879,0.166350439975593,0.056,0.046,1.0,0
Pi4k2b,0.156020491360531,0.69522255711074,0.027,0.017,1.0,0
Bcl7b,0.156107771618335,0.582671818524795,0.052,0.035,1.0,0
Fam161a,0.156250393403624,0.839612466445915,0.015,0.008,1.0,0
Hmcn1,0.156998440625558,-0.58923083235796,0.01,0.014,1.0,0
Pms1,0.157003698864978,0.200202181702382,0.08,0.067,1.0,0
Itm2b,0.157010356530143,-0.261589086276204,0.163,0.185,1.0,0
A530058N18Rik,0.157219714640564,0.700275784837025,0.016,0.009,1.0,0
Fam111a,0.157799253132629,-0.76653536416587,0.018,0.032,1.0,0
Unc5d,0.158143448584519,0.360728485142444,0.03,0.022,1.0,0
Ndufaf6,0.158438653338636,0.136594204203046,0.092,0.081,1.0,0
Actr6,0.158473477727071,0.458663857746351,0.071,0.051,1.0,0
Nr2f6,0.159149124240037,1.31765976325056,0.013,0.005,1.0,0
Pop4,0.159375228415281,0.7534558226962,0.025,0.015,1.0,0
Hpgd,0.159750919419959,0.95508968386585,0.014,0.007,1.0,0
Tmem65,0.159952208400145,-0.329743312246504,0.091,0.11,1.0,0
Col20a1,0.16095739153045,0.785164682423538,0.03,0.017,1.0,0
Snapc5,0.161079026456317,0.769223138554517,0.014,0.008,1.0,0
Aldh4a1,0.161574710465324,0.56277226108709,0.033,0.023,1.0,0
Dis3,0.161658016455109,0.507062828500803,0.091,0.063,1.0,0
Pkd2l2,0.16177809417863,-0.577405396961169,0.035,0.051,1.0,0
Klhl36,0.161968908383958,0.995731668363196,0.013,0.006,1.0,0
Zfp707,0.162379646487936,0.633161588978489,0.035,0.023,1.0,0
Npy1r,0.162563741543446,0.491689163025608,0.023,0.017,1.0,0
Ccne2,0.162633468359246,-0.354765578720937,0.025,0.033,1.0,0
2310009B15Rik,0.163024332221565,0.682071189459434,0.03,0.019,1.0,0
Smug1,0.163040738497023,0.495658065228553,0.03,0.021,1.0,0
Thap1,0.163151212434481,1.04081955789173,0.018,0.009,1.0,0
Slu7,0.16318906945522,0.56277226108709,0.049,0.033,1.0,0
Cntnap5a,0.163197184977654,-0.18813252403699,0.11,0.114,1.0,0
