,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DEG
Cpne3,6.14030165986086e-07,-0.341424860819822,0.021,0.028,0.0159488195313226,0
Eif5b,6.19899615246781e-07,-0.161236736320679,0.051,0.06,0.0161012726064199,0
Cdc42se1,6.24386495488262e-07,0.633343165731008,0.014,0.009,0.0162178148338121,0
Chd8,6.26676721196858e-07,-0.142735729302481,0.095,0.109,0.0162773011563672,0
Klc1,6.28224224460155e-07,0.16115629922164,0.111,0.104,0.0163174960061281,0
B230206H07Rik,6.28314771045475e-07,-0.262266180366004,0.07,0.084,0.0163198478631352,0
Ndfip2,6.30184260820321e-07,0.213153178686562,0.054,0.05,0.016368405990547,0
Snx27,6.34476028933776e-07,-0.18805746592649,0.076,0.089,0.0164798803755259,0
Tmem87b,6.34877284058059e-07,-0.149845445195844,0.058,0.067,0.016490302576124,0
A430033K04Rik,6.39215572613322e-07,-0.552015613721481,0.018,0.026,0.0166029852830584,0
Scaf4,6.49321650441174e-07,-0.119971224993423,0.084,0.096,0.0168654805485591,0
Hmgxb4,6.51945930550861e-07,-0.26350222699141,0.039,0.049,0.0169336436001281,0
Mkrn1,6.60168238848063e-07,0.281215698611313,0.036,0.032,0.0171472098358396,0
Ubxn2a,6.73068894351171e-07,-0.261372383962998,0.038,0.048,0.0174822914618773,0
Adamts20,6.80134113630956e-07,-0.141260169598316,0.09,0.103,0.0176658034674505,0
Rbm15,6.80806335098753e-07,-0.267141215000368,0.03,0.039,0.017683263747855,0
Ndufa10,6.82729892869811e-07,0.261932212622246,0.034,0.031,0.0177332262374005,0
Rab11fip4,6.85637144881314e-07,-0.161451346604666,0.074,0.085,0.0178087392011473,0
Ttc4,6.88115630005204e-07,0.190883478143498,0.021,0.021,0.0178731153737552,0
Xpnpep3,6.93297448317718e-07,-0.187287253044506,0.042,0.051,0.0180077079226044,0
Ubap2,6.98903801253795e-07,-0.113833888477632,0.04,0.047,0.0181533273337661,0
Prpf19,7.20612587040598e-07,0.579357830288255,0.017,0.012,0.0187171913357925,0
Zfyve26,7.228895553982e-07,-0.167420270247611,0.059,0.069,0.0187763333119129,0
Top2b,7.2491068108792e-07,-0.202725537083494,0.146,0.166,0.0188288300305776,0
N4bp2l1,7.31865353679495e-07,0.185138802516965,0.022,0.022,0.0190094706964712,0
Suclg1,7.32748383057544e-07,0.395503511185273,0.026,0.022,0.0190324065015367,0
Lyrm1,7.34029915171673e-07,-0.52959157317452,0.016,0.023,0.019065693016669,0
Eif4a2,7.36598122822327e-07,0.172520895229396,0.085,0.08,0.0191323996421871,0
Ncbp2,7.53070149272972e-07,0.441642210140364,0.027,0.02,0.0195602440572162,0
Zfp64,7.76724860672605e-07,-0.400895139056177,0.025,0.034,0.0201746515311102,0
Ranbp1,7.81362950944716e-07,0.657891799652097,0.013,0.008,0.0202951212878381,0
Dnajb9,7.98393213454096e-07,0.6430848932651,0.014,0.009,0.0207374653262567,0
Gtpbp4,8.04576441745062e-07,-0.230155198681104,0.022,0.028,0.0208980684978862,0
Sdha,8.18302431450643e-07,-0.158954037618815,0.076,0.089,0.021254587354499,0
Ap2a2,8.1976402530839e-07,0.219271487436111,0.044,0.042,0.0212925507933601,0
Slc25a23,8.21996157850996e-07,0.18827266419493,0.041,0.04,0.0213505282040218,0
Ptpn9,8.23955665894022e-07,-0.333328286417284,0.037,0.047,0.0214014244659313,0
Gm14403,8.25378779284406e-07,-0.847749491241898,0.005,0.01,0.0214383884131332,0
Rttn,8.32231336148918e-07,-0.143525315509779,0.082,0.094,0.021616376725132,0
Meis1,8.37069741770927e-07,-0.115456569161227,0.152,0.169,0.0217420494727581,0
Abcf1,8.41109050479324e-07,0.298617217986637,0.034,0.03,0.02184696647715,0
Mvk,8.43828023224492e-07,0.751419882172046,0.011,0.007,0.0219175890752329,0
Galnt12,8.44202427913023e-07,-0.721751793091553,0.007,0.012,0.0219273138626128,0
Map6,8.46469146471064e-07,-0.251133869588069,0.057,0.069,0.0219861896104394,0
Mrpl14,8.51437109914949e-07,0.653222536157443,0.014,0.009,0.0221152274929309,0
Desi2,8.58315783722634e-07,-0.145601425979696,0.09,0.103,0.0222938941664117,0
Wbp11,8.7823084016967e-07,0.111960187272873,0.048,0.049,0.022811167842567,0
Tmed3,8.80772987714026e-07,0.773012898658025,0.01,0.006,0.0228771975828841,0
Sympk,8.80902759030104e-07,0.232278232624454,0.06,0.055,0.0228805682630479,0
Smpd4,8.97379694636004e-07,0.480669207339719,0.02,0.016,0.0233085401884756,0
Spata7,8.9966590479971e-07,-0.267045678321739,0.021,0.027,0.0233679222112677,0
Dach2,9.01789660819087e-07,-0.279336151469857,0.07,0.075,0.023423084650115,0
Tcea1,9.12612926461272e-07,-0.109890527594926,0.07,0.08,0.0237042081519051,0
Dync1h1,9.25441378203971e-07,0.14455284755006,0.122,0.118,0.02403741435747,0
