,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DEG
Syngap1,0.62373869454091,0.280222777238,0.023,0.019,1.0,0
Ipo5,0.624232814980106,-0.116613670989698,0.04,0.042,1.0,0
A730017L22Rik,0.624240845446354,-0.284275620923441,0.011,0.013,1.0,0
Nkrf,0.624769125061347,0.224969825764918,0.011,0.009,1.0,0
Dnajc5,0.624888592380156,-0.104921569080134,0.093,0.098,1.0,0
Atp2b4,0.625082089868298,-0.146055830653868,0.042,0.046,1.0,0
Kif3b,0.625199593389007,0.122510757007237,0.033,0.03,1.0,0
Pnp,0.625303134270376,-0.324633358539582,0.01,0.012,1.0,0
Sumo1,0.626426294722275,0.121546066205068,0.085,0.079,1.0,0
Gm26590,0.62729060525026,-0.25895284076011,0.011,0.013,1.0,0
Skil,0.628556411672048,0.228527645178106,0.038,0.033,1.0,0
Clec2l,0.62893199387734,0.414447624628631,0.013,0.01,1.0,0
Surf2,0.629070434152338,-0.469831274079517,0.007,0.01,1.0,0
Rgs6,0.629667083272898,0.197593386833612,0.022,0.02,1.0,0
Zpr1,0.629707404819682,-0.209370811909549,0.01,0.011,1.0,0
Mtmr9,0.63009911271336,-0.178032845376543,0.021,0.025,1.0,0
Yipf4,0.630486549036395,0.127888936733803,0.04,0.036,1.0,0
Carm1,0.630876737261629,-0.107832785447488,0.046,0.048,1.0,0
Plxna1,0.630942589058865,0.322817149163062,0.012,0.01,1.0,0
Ccdc73,0.631940900192509,0.154483146745516,0.014,0.013,1.0,0
Cant1,0.632294468196612,0.250060806727747,0.013,0.011,1.0,0
Hmgn1,0.63256722787756,0.223749529611901,0.03,0.027,1.0,0
Itga8,0.632592985511771,0.239005618218752,0.033,0.03,1.0,0
Tmem127,0.632713967999989,0.240662108725497,0.031,0.026,1.0,0
Pitpnm3,0.633178851032176,0.165668619437375,0.011,0.01,1.0,0
Ipp,0.633632276565365,0.137586077469335,0.021,0.02,1.0,0
Snx4,0.633974203460635,-0.129404454353515,0.05,0.055,1.0,0
Gm27241,0.634428281252882,0.302528226621883,0.012,0.009,1.0,0
Ddx21,0.634459932194497,0.180798144290634,0.025,0.021,1.0,0
Chmp7,0.634492444920254,0.191957852164179,0.015,0.013,1.0,0
Fndc4,0.634659768147695,-0.153571929278847,0.026,0.028,1.0,0
Kdm6b,0.635052004774266,0.190118266271465,0.033,0.029,1.0,0
Ttc9,0.635186345564937,0.326009659961046,0.016,0.012,1.0,0
Exosc4,0.635227972978228,0.279808150121799,0.01,0.008,1.0,0
Rnf122,0.635642560870295,0.103219418398476,0.023,0.022,1.0,0
Eif2ak2,0.635995110193917,-0.346583499041045,0.008,0.011,1.0,0
Fam98c,0.636365413048229,0.278629958924518,0.01,0.008,1.0,0
Nono,0.636553495427874,0.102764715960225,0.055,0.049,1.0,0
Ccdc57,0.637255034566733,-0.148674880221995,0.036,0.039,1.0,0
Wee1,0.637345426091468,0.273144419840788,0.011,0.009,1.0,0
Prdx3,0.638314748155328,-0.278633474346663,0.012,0.015,1.0,0
Arf2,0.638324521959292,-0.164976692551097,0.01,0.011,1.0,0
Srpk3,0.638329803970047,-0.256399720314691,0.022,0.026,1.0,0
