cell_type,gene,DEG,pred,dmr,mcg_genebody,mch_genebody
L6_CT_CTX_Glut,Kif1a,-1,-1,0.61856294,0.15267539,0.2287617
L6_CT_CTX_Glut,Ubr4,-1,-1,0.89125234,0.041703284,0.06704434
L6_CT_CTX_Glut,Col23a1,-1,0,0.24227218,0.112797014,0.64493084
L6_CT_CTX_Glut,Mto1,-1,-1,0.27314618,0.3994426,0.3274112
L6_CT_CTX_Glut,Ccar1,-1,-1,0.24012402,0.32964814,0.43022788
L6_CT_CTX_Glut,1700016P03Rik,-1,-1,0.33442092,0.32810995,0.3374691
L6_CT_CTX_Glut,Cdk9,-1,-1,0.32720807,0.4053522,0.26743975
L6_CT_CTX_Glut,Rapgefl1,-1,-1,0.29215744,0.37686893,0.33097357
L6_CT_CTX_Glut,Ubtf,-1,-1,0.3146224,0.32571983,0.3596578
L6_CT_CTX_Glut,Prkcb,-1,-1,0.8401778,0.02971896,0.1301032
L6_CT_CTX_Glut,Galnt16,-1,0,0.13819359,0.22124359,0.6405628
L6_CT_CTX_Glut,Eif4g1,-1,-1,0.68188256,0.15398648,0.16413097
L6_CT_CTX_Glut,Rmnd5b,-1,-1,0.5110255,0.21679212,0.2721824
L6_CT_CTX_Glut,Psmd2,-1,-1,0.30147785,0.374483,0.32403907
L6_CT_CTX_Glut,Map6,-1,-1,0.46777922,0.21065903,0.32156175
L6_CT_CTX_Glut,Syn2,1,-1,0.51917917,0.05433997,0.42648092
L6_CT_CTX_Glut,Cdk5,-1,-1,0.3333297,0.35257697,0.3140933
L6_CT_CTX_Glut,Cpeb3,-1,-1,0.3268599,0.2289068,0.44423327
L6_CT_CTX_Glut,Arhgef25,-1,-1,0.561961,0.094479814,0.34355918
L6_CT_CTX_Glut,Flna,-1,-1,0.27029997,0.37955332,0.35014668
L6_CT_CTX_Glut,Dhx32,-1,0,0.36888185,0.103258535,0.5278596
L6_CT_CTX_Glut,Syngr3,-1,-1,0.3159433,0.35583118,0.32822552
L6_CT_CTX_Glut,Kcnh3,-1,-1,0.6163125,0.16182914,0.22185834
L6_CT_CTX_Glut,Pcbp2,-1,-1,0.26771697,0.42268947,0.30959356
L6_CT_CTX_Glut,Ap2m1,-1,-1,0.29366273,0.4216921,0.2846451
L6_CT_CTX_Glut,Nfix,-1,-1,0.7897732,0.08089531,0.12933144
L6_CT_CTX_Glut,Inf2,-1,0,0.39125627,0.16498107,0.44376272
L6_CT_CTX_Glut,Gm28376,1,-1,0.5035344,0.099045806,0.3974198
L6_CT_CTX_Glut,Eif4enif1,-1,-1,0.23651771,0.33673757,0.42674467
L6_CT_CTX_Glut,Fxyd6,-1,-1,0.21143503,0.30123925,0.4873257
L6_CT_CTX_Glut,Pfkm,-1,-1,0.64739937,0.16291685,0.18968378
L6_CT_CTX_Glut,Fnbp4,-1,-1,0.45453194,0.22085203,0.324616
L6_CT_CTX_Glut,Tbc1d30,-1,0,0.32953858,0.09500675,0.5754547
L6_CT_CTX_Glut,Kcnb1,-1,-1,0.7676768,0.08036823,0.15195504
L6_CT_CTX_Glut,Riok1,-1,-1,0.26362914,0.3658871,0.37048376
L6_CT_CTX_Glut,Rsrp1,-1,-1,0.35137033,0.36787656,0.28075314
L6_CT_CTX_Glut,Galnt13,1,0,0.08682102,0.1492374,0.7639416
L6_CT_CTX_Glut,Lars2,-1,0,0.057795566,0.11463366,0.82757074
L6_CT_CTX_Glut,Zfp523,-1,0,0.21304445,0.31350544,0.47345012
L6_CT_CTX_Glut,Gfm2,-1,-1,0.23340043,0.35051933,0.4160803
L6_CT_CTX_Glut,Psmd13,-1,-1,0.27969602,0.41068712,0.30961683
L6_CT_CTX_Glut,Sfswap,-1,-1,0.6823453,0.08808462,0.22957005
L6_CT_CTX_Glut,Dagla,-1,-1,0.68983567,0.14667249,0.16349187
L6_CT_CTX_Glut,Mov10,-1,-1,0.3334539,0.20413364,0.46241248
L6_CT_CTX_Glut,Atp13a1,-1,-1,0.28523335,0.33539966,0.37936696
L6_CT_CTX_Glut,Map3k5,-1,0,0.36734805,0.11380976,0.5188422
L6_CT_CTX_Glut,Reps2,1,1,0.06822275,0.10902108,0.8227562
L6_CT_CTX_Glut,Plekhg5,-1,-1,0.26929948,0.22671415,0.5039864
L6_CT_CTX_Glut,Rad54l2,-1,-1,0.16400735,0.25087717,0.5851155
L6_CT_CTX_Glut,Dnajc18,-1,-1,0.22976996,0.3613857,0.40884426
L6_CT_CTX_Glut,Limk1,-1,-1,0.25792998,0.37599814,0.36607188
L6_CT_CTX_Glut,Adck5,-1,-1,0.44573367,0.2945991,0.25966722
L6_CT_CTX_Glut,Fbf1,-1,-1,0.54285806,0.13951395,0.3176279
